Anno;Quartiere;Zona;Tipologia Famiglia;Dimensione Familiare;Numero Famiglie;Componenti
2003;San Donato - San Vitale;San Vitale;Coniugi con altri membri conviventi;4;10;40
2003;San Donato - San Vitale;San Vitale;Coniugi con altri membri conviventi;6-10;2;13
2003;San Donato - San Vitale;San Vitale;Padre con figli;3;46;138
2003;San Donato - San Vitale;San Vitale;Padre con figli e altri membri conviventi;4;37;148
2003;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;6-10;11;72
2003;Santo Stefano;Irnerio;Madre con figli e altri membri conviventi;3;62;186
2003;Santo Stefano;Murri;Altre tipologie familiari;2;458;916
2003;Santo Stefano;Murri;Altre tipologie familiari;3;43;129
2003;Santo Stefano;Murri;Coniugi con figli;5;145;725
2003;Santo Stefano;Murri;Madre con figli e altri membri conviventi;6-10;1;7
2003;Santo Stefano;Murri;Solo;1;2180;2180
2003;Savena;Mazzini;Coniugi con altri membri conviventi;4;16;64
2003;Savena;Mazzini;Coniugi con figli e altri membri conviventi;6-10;40;257
2003;Savena;Mazzini;Madre con figli;5;8;40
2003;Savena;Mazzini;Sola;1;4086;4086
2004;Borgo Panigale - Reno;Barca;Coniugi con figli e altri membri conviventi;Oltre 10;1;11
2004;Borgo Panigale - Reno;Barca;Padre con figli;3;23;69
2004;Borgo Panigale - Reno;Borgo Panigale;Coniugi con altri membri conviventi;5;2;10
2004;Borgo Panigale - Reno;Borgo Panigale;Coniugi con figli;4;746;2984
2004;Borgo Panigale - Reno;Borgo Panigale;Madre con figli;4;14;56
2004;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;4;37;148
2004;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;5;14;70
2004;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;3;29;87
2004;Borgo Panigale - Reno;Santa Viola;Coniugi con altri membri conviventi;3;64;192
2004;Borgo Panigale - Reno;Santa Viola;Madre con figli;4;8;32
2004;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;4;19;76
2004;Navile;Bolognina;Altre tipologie familiari;3;58;174
2004;Navile;Bolognina;Coniugi con figli;4;930;3720
2004;Navile;Bolognina;Madre con figli;3;206;618
2004;Navile;Bolognina;Madre con figli;4;15;60
2004;Navile;Corticella;Coniugi con figli;4;575;2300
2004;Navile;Lame;Padre con figli e altri membri conviventi;5;7;35
2004;Porto - Saragozza;Malpighi;Altre tipologie familiari;2;266;532
2004;Porto - Saragozza;Malpighi;Altre tipologie familiari;5;1;5
2004;Porto - Saragozza;Malpighi;Madre con figli;2;410;820
2004;Porto - Saragozza;Malpighi;Madre con figli;5;1;5
2004;San Donato - San Vitale;San Vitale;Coniugi con figli e altri membri conviventi;5;62;310
2004;San Donato - San Vitale;San Vitale;Madre con figli;5;9;45
2004;Santo Stefano;Colli;Coniugi con altri membri conviventi;4;2;8
2004;Santo Stefano;Colli;Madre con figli e altri membri conviventi;5;2;10
2004;Santo Stefano;Colli;Padre con figli;3;25;75
2004;Santo Stefano;Colli;Padre con figli;5;2;10
2004;Santo Stefano;Colli;Padre con figli e altri membri conviventi;4;20;80
2004;Santo Stefano;Galvani;Coniugi con altri membri conviventi;4;2;8
2004;Santo Stefano;Galvani;Madre con figli;5;1;5
2004;Santo Stefano;Irnerio;Altre tipologie familiari;5;1;5
2004;Santo Stefano;Irnerio;Coniugi con altri membri conviventi;5;2;10
2004;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;6-10;2;12
2004;Santo Stefano;Murri;Padre con figli;2;165;330
2004;Savena;Mazzini;Coniugi con figli;3;2576;7728
2004;Savena;Mazzini;Coniugi con figli;6-10;27;170
2004;Savena;Mazzini;Madre con figli e altri membri conviventi;3;147;441
2004;Savena;Mazzini;Madre con figli e altri membri conviventi;6-10;1;9
2004;Savena;Mazzini;Padre con figli;3;47;141
2004;Savena;San Ruffillo;Altre tipologie familiari;4;5;20
2004;Savena;San Ruffillo;Altre tipologie familiari;6-10;1;7
2004;Savena;San Ruffillo;Padre con figli e altri membri conviventi;3;67;201
2004;Senza fissa dimora;Senza fissa dimora;Madre con figli;4;1;4
2005;Borgo Panigale - Reno;Borgo Panigale;Coniugi con figli;4;732;2928
2005;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;Oltre 10;1;11
2005;Borgo Panigale - Reno;Borgo Panigale;Padre con figli e altri membri conviventi;4;29;116
2005;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;4;21;84
2005;Navile;Bolognina;Coniugi;2;2898;5796
2005;Navile;Bolognina;Coniugi con figli;6-10;41;257
2005;Navile;Bolognina;Madre con figli e altri membri conviventi;4;52;208
2005;Navile;Bolognina;Solo;1;3815;3815
2005;Navile;Corticella;Coniugi con altri membri conviventi;4;8;32
2005;Navile;Corticella;Coniugi con figli;6-10;18;114
2005;Navile;Corticella;Madre con figli;3;126;378
2005;Navile;Lame;Altre tipologie familiari;4;3;12
2005;Navile;Lame;Coniugi con figli;4;493;1972
2005;Porto - Saragozza;Costa Saragozza;Altre tipologie familiari;2;365;730
2005;Porto - Saragozza;Costa Saragozza;Coniugi con altri membri conviventi;5;2;10
2005;Porto - Saragozza;Costa Saragozza;Padre con figli e altri membri conviventi;6-10;2;14
2005;Porto - Saragozza;Malpighi;Altre tipologie familiari;4;5;20
2005;Porto - Saragozza;Malpighi;Madre con figli;2;426;852
2005;Porto - Saragozza;Marconi;Padre con figli;2;114;228
2005;Porto - Saragozza;Marconi;Padre con figli;4;2;8
2005;Porto - Saragozza;Saffi;Madre con figli;3;123;369
2005;Porto - Saragozza;Saffi;Madre con figli e altri membri conviventi;6-10;2;12
2005;San Donato - San Vitale;San Donato;Altre tipologie familiari;4;9;36
2005;San Donato - San Vitale;San Vitale;Coniugi con figli e altri membri conviventi;6-10;26;169
2005;San Donato - San Vitale;San Vitale;Madre con figli e altri membri conviventi;6-10;6;37
2005;San Donato - San Vitale;San Vitale;Padre con figli;3;44;132
2005;San Donato - San Vitale;San Vitale;Padre con figli;4;7;28
2005;San Donato - San Vitale;San Vitale;Padre con figli e altri membri conviventi;6-10;3;18
2005;Santo Stefano;Colli;Coniugi con figli;3;420;1260
2005;Santo Stefano;Colli;Padre con figli;3;26;78
2005;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;6-10;8;55
2005;Santo Stefano;Galvani;Padre con figli;3;35;105
2005;Santo Stefano;Galvani;Padre con figli e altri membri conviventi;4;26;104
2006;Borgo Panigale - Reno;Santa Viola;Madre con figli e altri membri conviventi;3;56;168
2006;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;3;52;156
2006;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;5;3;15
2006;Navile;Bolognina;Padre con figli e altri membri conviventi;3;100;300
2006;Navile;Bolognina;Sola;1;4821;4821
2006;Navile;Corticella;Coniugi con altri membri conviventi;4;5;20
2006;Navile;Corticella;Coniugi con figli e altri membri conviventi;4;76;304
2006;Navile;Corticella;Madre con figli;2;481;962
2006;Navile;Corticella;Madre con figli e altri membri conviventi;4;28;112
2006;Navile;Corticella;Padre con figli e altri membri conviventi;3;92;276
2006;Navile;Corticella;Padre con figli e altri membri conviventi;4;33;132
2006;Navile;Corticella;Sola;1;1685;1685
2006;Navile;Corticella;Solo;1;1407;1407
2006;Navile;Lame;Padre con figli;4;4;16
2006;Porto - Saragozza;Costa Saragozza;Altre tipologie familiari;3;28;84
2006;Porto - Saragozza;Costa Saragozza;Madre con figli;4;24;96
2006;Porto - Saragozza;Costa Saragozza;Madre con figli;5;1;5
2006;Porto - Saragozza;Costa Saragozza;Padre con figli e altri membri conviventi;5;3;15
2006;Porto - Saragozza;Malpighi;Altre tipologie familiari;3;18;54
2006;Porto - Saragozza;Malpighi;Coniugi con figli;6-10;11;68
2006;Porto - Saragozza;Malpighi;Madre con figli;2;428;856
2006;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;3;52;156
2006;Porto - Saragozza;Malpighi;Padre con figli e altri membri conviventi;6-10;1;6
2006;Porto - Saragozza;Marconi;Madre con figli;4;16;64
2006;Porto - Saragozza;Marconi;Padre con figli;2;113;226
2006;Porto - Saragozza;Marconi;Padre con figli;3;33;99
2006;Porto - Saragozza;Saffi;Solo;1;1998;1998
2006;San Donato - San Vitale;San Donato;Altre tipologie familiari;2;565;1130
2006;San Donato - San Vitale;San Donato;Madre con figli;2;1155;2310
2006;San Donato - San Vitale;San Donato;Sola;1;3947;3947
2006;San Donato - San Vitale;San Vitale;Altre tipologie familiari;2;654;1308
2006;San Donato - San Vitale;San Vitale;Altre tipologie familiari;4;7;28
2006;San Donato - San Vitale;San Vitale;Altre tipologie familiari;6-10;1;6
2006;San Donato - San Vitale;San Vitale;Madre con figli;2;1078;2156
2006;San Donato - San Vitale;San Vitale;Padre con figli;2;206;412
2006;San Donato - San Vitale;San Vitale;Padre con figli e altri membri conviventi;4;39;156
2006;Santo Stefano;Colli;Altre tipologie familiari;2;106;212
2006;Santo Stefano;Colli;Coniugi con altri membri conviventi;3;24;72
2006;Santo Stefano;Colli;Coniugi con figli e altri membri conviventi;6-10;18;120
2006;Santo Stefano;Colli;Madre con figli;3;138;414
2006;Santo Stefano;Colli;Padre con figli;5;1;5
2006;Santo Stefano;Colli;Padre con figli e altri membri conviventi;5;7;35
2006;Santo Stefano;Galvani;Madre con figli e altri membri conviventi;5;8;40
2006;Santo Stefano;Galvani;Padre con figli;3;36;108
2006;Santo Stefano;Irnerio;Altre tipologie familiari;2;309;618
2006;Santo Stefano;Irnerio;Altre tipologie familiari;3;25;75
2006;Santo Stefano;Irnerio;Coniugi con figli;5;61;305
2006;Santo Stefano;Irnerio;Madre con figli;5;1;5
2006;Santo Stefano;Irnerio;Madre con figli e altri membri conviventi;4;28;112
2006;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;4;29;116
2006;Santo Stefano;Murri;Altre tipologie familiari;3;50;150
2006;Savena;Mazzini;Madre con figli;2;1201;2402
2006;Savena;Mazzini;Madre con figli e altri membri conviventi;3;151;453
2006;Savena;Mazzini;Sola;1;4471;4471
2006;Savena;San Ruffillo;Coniugi con figli;3;1287;3861
2006;Savena;San Ruffillo;Madre con figli;2;777;1554
2007;Borgo Panigale - Reno;Barca;Coniugi con figli;6-10;26;165
2007;Borgo Panigale - Reno;Barca;Padre con figli e altri membri conviventi;4;37;148
2007;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;5;13;65
2007;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;2;149;298
2007;Borgo Panigale - Reno;Borgo Panigale;Padre con figli e altri membri conviventi;3;121;363
2007;Borgo Panigale - Reno;Borgo Panigale;Sola;1;2787;2787
2007;Borgo Panigale - Reno;Santa Viola;Altre tipologie familiari;2;215;430
2007;Borgo Panigale - Reno;Santa Viola;Coniugi con figli e altri membri conviventi;5;28;140
2007;Navile;Bolognina;Altre tipologie familiari;3;38;114
2007;Navile;Bolognina;Coniugi;2;2794;5588
2007;Navile;Bolognina;Coniugi con altri membri conviventi;6-10;1;6
2007;Navile;Bolognina;Coniugi con figli;5;155;775
2007;Navile;Bolognina;Coniugi con figli e altri membri conviventi;4;101;404
2007;Navile;Bolognina;Madre con figli;2;1067;2134
2007;Navile;Bolognina;Padre con figli e altri membri conviventi;5;12;60
2007;Navile;Corticella;Altre tipologie familiari;6-10;1;6
2007;Navile;Corticella;Coniugi con altri membri conviventi;5;2;10
2007;Navile;Corticella;Madre con figli e altri membri conviventi;4;30;120
2007;Navile;Corticella;Padre con figli e altri membri conviventi;3;86;258
2007;Navile;Lame;Padre con figli e altri membri conviventi;5;3;15
2007;Porto - Saragozza;Costa Saragozza;Altre tipologie familiari;5;5;25
2007;Porto - Saragozza;Costa Saragozza;Madre con figli;3;192;576
2007;Porto - Saragozza;Costa Saragozza;Padre con figli e altri membri conviventi;3;79;237
2007;Porto - Saragozza;Costa Saragozza;Padre con figli e altri membri conviventi;5;5;25
2007;Porto - Saragozza;Costa Saragozza;Sola;1;3760;3760
2007;Porto - Saragozza;Malpighi;Padre con figli e altri membri conviventi;6-10;2;13
2007;Porto - Saragozza;Marconi;Altre tipologie familiari;2;264;528
2007;Porto - Saragozza;Marconi;Coniugi con altri membri conviventi;5;2;10
2007;Porto - Saragozza;Marconi;Coniugi con figli;5;66;330
2007;Porto - Saragozza;Marconi;Coniugi con figli e altri membri conviventi;5;22;110
2007;Porto - Saragozza;Marconi;Coniugi con figli e altri membri conviventi;6-10;10;63
2007;Porto - Saragozza;Marconi;Madre con figli;2;503;1006
2007;Porto - Saragozza;Marconi;Madre con figli e altri membri conviventi;3;67;201
2007;Porto - Saragozza;Saffi;Coniugi;2;1545;3090
2007;Porto - Saragozza;Saffi;Madre con figli e altri membri conviventi;4;28;112
2007;Porto - Saragozza;Saffi;Solo;1;2002;2002
2007;San Donato - San Vitale;San Donato;Madre con figli e altri membri conviventi;3;166;498
2007;San Donato - San Vitale;San Donato;Madre con figli e altri membri conviventi;4;66;264
2007;San Donato - San Vitale;San Donato;Padre con figli;4;2;8
2007;San Donato - San Vitale;San Vitale;Coniugi con altri membri conviventi;4;13;52
2007;Santo Stefano;Colli;Coniugi con figli;3;407;1221
2007;Santo Stefano;Colli;Padre con figli e altri membri conviventi;3;21;63
2007;Santo Stefano;Galvani;Altre tipologie familiari;2;268;536
2007;Santo Stefano;Galvani;Coniugi con altri membri conviventi;4;4;16
2007;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;4;33;132
2007;Santo Stefano;Galvani;Madre con figli e altri membri conviventi;3;64;192
2007;Santo Stefano;Galvani;Madre con figli e altri membri conviventi;5;13;65
2007;Santo Stefano;Galvani;Madre con figli e altri membri conviventi;6-10;1;6
2007;Santo Stefano;Galvani;Sola;1;2405;2405
2007;Santo Stefano;Irnerio;Altre tipologie familiari;3;23;69
2007;Santo Stefano;Irnerio;Madre con figli;2;457;914
2007;Santo Stefano;Murri;Altre tipologie familiari;2;395;790
2007;Santo Stefano;Murri;Coniugi con figli;Oltre 10;1;12
2007;Santo Stefano;Murri;Madre con figli;2;952;1904
2007;Santo Stefano;Murri;Madre con figli e altri membri conviventi;6-10;1;7
2007;Savena;Mazzini;Altre tipologie familiari;4;7;28
2007;Savena;Mazzini;Madre con figli;4;34;136
2007;Savena;Mazzini;Madre con figli;6-10;1;8
2007;Savena;Mazzini;Madre con figli e altri membri conviventi;6-10;1;6
2007;Savena;Mazzini;Padre con figli;4;3;12
2007;Savena;San Ruffillo;Coniugi con figli;6-10;23;144
2007;Savena;San Ruffillo;Madre con figli;3;189;567
2007;Savena;San Ruffillo;Madre con figli e altri membri conviventi;4;36;144
2007;Senza fissa dimora;Senza fissa dimora;Madre con figli e altri membri conviventi;3;2;6
2008;Borgo Panigale - Reno;Barca;Coniugi con figli;6-10;28;178
2008;Borgo Panigale - Reno;Barca;Coniugi con figli e altri membri conviventi;6-10;29;185
2008;Borgo Panigale - Reno;Barca;Padre con figli e altri membri conviventi;5;11;55
2008;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;5;14;70
2008;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;6-10;6;36
2008;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;3;38;114
2008;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;4;8;32
2008;Borgo Panigale - Reno;Borgo Panigale;Padre con figli;5;1;5
2008;Borgo Panigale - Reno;Borgo Panigale;Padre con figli e altri membri conviventi;4;29;116
2008;Borgo Panigale - Reno;Borgo Panigale;Solo;1;2232;2232
2008;Borgo Panigale - Reno;Santa Viola;Altre tipologie familiari;3;17;51
2008;Borgo Panigale - Reno;Santa Viola;Coniugi;2;1140;2280
2008;Borgo Panigale - Reno;Santa Viola;Coniugi con altri membri conviventi;4;11;44
2008;Borgo Panigale - Reno;Santa Viola;Madre con figli;2;432;864
2008;Borgo Panigale - Reno;Santa Viola;Madre con figli e altri membri conviventi;6-10;4;24
2008;Navile;Bolognina;Altre tipologie familiari;2;547;1094
2008;Navile;Bolognina;Altre tipologie familiari;3;51;153
2008;Navile;Bolognina;Coniugi;2;2781;5562
2008;Navile;Bolognina;Madre con figli;4;33;132
2008;Navile;Bolognina;Padre con figli e altri membri conviventi;3;118;354
2008;Navile;Bolognina;Padre con figli e altri membri conviventi;4;63;252
2008;Navile;Corticella;Padre con figli;2;127;254
2008;Navile;Lame;Coniugi con figli;6-10;19;120
2008;Navile;Lame;Coniugi con figli e altri membri conviventi;6-10;27;173
2008;Navile;Lame;Madre con figli;6-10;1;6
2008;Navile;Lame;Madre con figli e altri membri conviventi;5;8;40
2008;Navile;Lame;Solo;1;1260;1260
2008;Porto - Saragozza;Costa Saragozza;Altre tipologie familiari;2;392;784
2008;Porto - Saragozza;Costa Saragozza;Altre tipologie familiari;4;4;16
2008;Porto - Saragozza;Costa Saragozza;Coniugi con figli e altri membri conviventi;6-10;23;142
2008;Porto - Saragozza;Costa Saragozza;Padre con figli;3;42;126
2008;Porto - Saragozza;Costa Saragozza;Sola;1;3873;3873
2008;Porto - Saragozza;Malpighi;Altre tipologie familiari;2;253;506
2008;Porto - Saragozza;Malpighi;Altre tipologie familiari;3;20;60
2008;Porto - Saragozza;Malpighi;Altre tipologie familiari;5;2;10
2008;Porto - Saragozza;Malpighi;Coniugi con figli;5;62;310
2008;Porto - Saragozza;Malpighi;Coniugi con figli e altri membri conviventi;5;18;90
2008;Porto - Saragozza;Malpighi;Coniugi con figli e altri membri conviventi;6-10;11;68
2008;Porto - Saragozza;Malpighi;Madre con figli;2;402;804
2008;Porto - Saragozza;Marconi;Altre tipologie familiari;2;281;562
2008;Porto - Saragozza;Marconi;Coniugi con figli;6-10;15;95
2008;Porto - Saragozza;Saffi;Altre tipologie familiari;4;4;16
2008;Porto - Saragozza;Saffi;Coniugi con altri membri conviventi;4;9;36
2008;Porto - Saragozza;Saffi;Coniugi con altri membri conviventi;5;2;10
2008;Porto - Saragozza;Saffi;Solo;1;2072;2072
2008;San Donato - San Vitale;San Donato;Coniugi con figli;6-10;62;405
2008;San Donato - San Vitale;San Donato;Madre con figli;6-10;6;37
2008;San Donato - San Vitale;San Donato;Padre con figli e altri membri conviventi;5;12;60
2008;San Donato - San Vitale;San Vitale;Coniugi con figli e altri membri conviventi;4;91;364
2008;San Donato - San Vitale;San Vitale;Coniugi con figli e altri membri conviventi;6-10;32;204
2008;San Donato - San Vitale;San Vitale;Madre con figli e altri membri conviventi;4;52;208
2008;San Donato - San Vitale;San Vitale;Padre con figli e altri membri conviventi;6-10;4;24
2008;Santo Stefano;Colli;Padre con figli;4;6;24
2008;Santo Stefano;Colli;Padre con figli e altri membri conviventi;3;25;75
2008;Santo Stefano;Colli;Padre con figli e altri membri conviventi;4;22;88
2008;Santo Stefano;Colli;Padre con figli e altri membri conviventi;5;7;35
2008;Santo Stefano;Galvani;Altre tipologie familiari;3;16;48
2008;Santo Stefano;Galvani;Altre tipologie familiari;4;4;16
2008;Santo Stefano;Irnerio;Altre tipologie familiari;3;27;81
2008;Santo Stefano;Irnerio;Padre con figli;4;4;16
2008;Santo Stefano;Irnerio;Solo;1;2560;2560
2008;Santo Stefano;Murri;Padre con figli;2;183;366
2008;Savena;Mazzini;Altre tipologie familiari;5;5;25
2008;Savena;Mazzini;Coniugi con figli;6-10;37;226
2008;Savena;San Ruffillo;Altre tipologie familiari;4;14;56
2008;Savena;San Ruffillo;Coniugi con altri membri conviventi;6-10;1;7
2008;Savena;San Ruffillo;Madre con figli e altri membri conviventi;4;31;124
2008;Savena;San Ruffillo;Padre con figli e altri membri conviventi;5;5;25
2008;Senza fissa dimora;Senza fissa dimora;Altre tipologie familiari;4;1;4
2009;Borgo Panigale - Reno;Barca;Altre tipologie familiari;2;274;548
2009;Borgo Panigale - Reno;Barca;Altre tipologie familiari;4;8;32
2009;Borgo Panigale - Reno;Barca;Coniugi con altri membri conviventi;5;3;15
2009;Borgo Panigale - Reno;Barca;Coniugi con figli e altri membri conviventi;5;47;235
2009;Borgo Panigale - Reno;Barca;Madre con figli;5;3;15
2009;Borgo Panigale - Reno;Barca;Madre con figli e altri membri conviventi;4;63;252
2009;Borgo Panigale - Reno;Barca;Padre con figli;4;1;4
2009;Borgo Panigale - Reno;Borgo Panigale;Altre tipologie familiari;3;36;108
2009;Borgo Panigale - Reno;Borgo Panigale;Madre con figli;2;702;1404
2009;Borgo Panigale - Reno;Santa Viola;Coniugi con figli;5;52;260
2009;Borgo Panigale - Reno;Santa Viola;Coniugi con figli e altri membri conviventi;4;42;168
2009;Borgo Panigale - Reno;Santa Viola;Padre con figli e altri membri conviventi;3;42;126
2009;Navile;Bolognina;Coniugi;2;2737;5474
2009;Navile;Bolognina;Coniugi con altri membri conviventi;4;19;76
2009;Navile;Bolognina;Coniugi con figli e altri membri conviventi;5;64;320
2009;Navile;Bolognina;Coniugi con figli e altri membri conviventi;6-10;44;285
2009;Navile;Bolognina;Padre con figli;4;3;12
2009;Navile;Corticella;Coniugi con altri membri conviventi;4;6;24
2009;Navile;Corticella;Coniugi con figli;4;575;2300
2009;Navile;Corticella;Madre con figli e altri membri conviventi;4;30;120
2009;Navile;Corticella;Madre con figli e altri membri conviventi;5;8;40
2009;Navile;Corticella;Madre con figli e altri membri conviventi;6-10;3;19
2009;Navile;Corticella;Padre con figli;2;123;246
2009;Navile;Corticella;Padre con figli e altri membri conviventi;4;39;156
2009;Navile;Lame;Madre con figli;2;491;982
2009;Navile;Lame;Padre con figli;3;24;72
2009;Porto - Saragozza;Costa Saragozza;Coniugi con altri membri conviventi;5;4;20
2009;Porto - Saragozza;Costa Saragozza;Coniugi con figli;5;113;565
2009;Porto - Saragozza;Costa Saragozza;Padre con figli e altri membri conviventi;5;6;30
2009;Porto - Saragozza;Malpighi;Coniugi con altri membri conviventi;3;15;45
2009;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;4;19;76
2009;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;5;5;25
2009;Porto - Saragozza;Marconi;Altre tipologie familiari;3;27;81
2009;Porto - Saragozza;Marconi;Coniugi con altri membri conviventi;4;3;12
2009;Porto - Saragozza;Marconi;Coniugi con figli e altri membri conviventi;5;28;140
2009;Porto - Saragozza;Marconi;Padre con figli;4;6;24
2009;Porto - Saragozza;Marconi;Padre con figli e altri membri conviventi;3;43;129
2009;Porto - Saragozza;Marconi;Sola;1;2674;2674
2009;Porto - Saragozza;Saffi;Altre tipologie familiari;4;4;16
2009;Porto - Saragozza;Saffi;Altre tipologie familiari;5;2;10
2009;Porto - Saragozza;Saffi;Coniugi con figli;4;461;1844
2009;Porto - Saragozza;Saffi;Coniugi con figli e altri membri conviventi;4;57;228
2009;Porto - Saragozza;Saffi;Madre con figli e altri membri conviventi;6-10;5;31
2009;Porto - Saragozza;Saffi;Padre con figli;3;25;75
2009;Porto - Saragozza;Saffi;Padre con figli e altri membri conviventi;4;26;104
2009;San Donato - San Vitale;San Donato;Coniugi con figli;6-10;57;373
2009;San Donato - San Vitale;San Vitale;Coniugi con figli;3;1683;5049
2009;San Donato - San Vitale;San Vitale;Madre con figli;2;1064;2128
2009;San Donato - San Vitale;San Vitale;Solo;1;3860;3860
2009;Santo Stefano;Colli;Altre tipologie familiari;2;98;196
2009;Santo Stefano;Colli;Altre tipologie familiari;5;1;5
2009;Santo Stefano;Galvani;Madre con figli;2;465;930
2009;Santo Stefano;Galvani;Madre con figli;6-10;1;7
2009;Santo Stefano;Galvani;Madre con figli e altri membri conviventi;6-10;3;19
2009;Santo Stefano;Galvani;Padre con figli;2;124;248
2009;Santo Stefano;Galvani;Padre con figli;4;3;12
2009;Santo Stefano;Galvani;Padre con figli e altri membri conviventi;4;24;96
2009;Santo Stefano;Irnerio;Madre con figli;3;127;381
2009;Santo Stefano;Irnerio;Madre con figli e altri membri conviventi;5;3;15
2009;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;3;51;153
2009;Santo Stefano;Irnerio;Padre con figli e altri membri conviventi;4;19;76
2009;Santo Stefano;Murri;Coniugi con altri membri conviventi;4;12;48
2009;Santo Stefano;Murri;Coniugi con figli e altri membri conviventi;6-10;27;186
2009;Santo Stefano;Murri;Madre con figli e altri membri conviventi;3;103;309
2009;Santo Stefano;Murri;Padre con figli;2;187;374
2009;Santo Stefano;Murri;Padre con figli;5;2;10
2009;Savena;Mazzini;Coniugi con figli;3;2048;6144
2009;Savena;Mazzini;Madre con figli;6-10;1;8
2009;Savena;San Ruffillo;Altre tipologie familiari;4;10;40
2009;Savena;San Ruffillo;Coniugi con figli e altri membri conviventi;5;43;215
2009;Savena;San Ruffillo;Madre con figli e altri membri conviventi;6-10;3;18
2009;Savena;San Ruffillo;Padre con figli;4;4;16
2009;Savena;San Ruffillo;Padre con figli e altri membri conviventi;3;73;219
2009;Savena;San Ruffillo;Sola;1;2801;2801
2009;Senza fissa dimora;Senza fissa dimora;Madre con figli e altri membri conviventi;4;1;4
2009;Senza fissa dimora;Senza fissa dimora;Madre con figli e altri membri conviventi;5;1;5
2009;Senza fissa dimora;Senza fissa dimora;Sola;1;11;11
2010;Borgo Panigale - Reno;Barca;Altre tipologie familiari;2;271;542
2010;Borgo Panigale - Reno;Barca;Coniugi con altri membri conviventi;3;113;339
2010;Borgo Panigale - Reno;Barca;Madre con figli;2;730;1460
2010;Borgo Panigale - Reno;Barca;Padre con figli;2;156;312
2010;Borgo Panigale - Reno;Borgo Panigale;Altre tipologie familiari;4;16;64
2010;Borgo Panigale - Reno;Borgo Panigale;Madre con figli;4;21;84
