Sezione censimento (2011);Anno di riferimento;Nome quartiere;Nome zona;Nome area;Numero unità locali;Numero addetti (dipendenti e indipendenti);Numero addetti istituzioni pubbliche;Numero studenti
267;2017;Navile;Bolognina;ARCOVEGGIO;6;11;;
269;2017;Navile;Bolognina;ARCOVEGGIO;41;78;;
278;2017;Navile;Bolognina;PIAZZA DELL'UNITA';12;20;;
288;2017;Navile;Bolognina;PIAZZA DELL'UNITA';11;13;;
306;2017;Navile;Bolognina;VIA FERRARESE;29;44;;
313;2017;Navile;Bolognina;VIA FERRARESE;10;11;;
333;2017;Navile;Bolognina;VIA FERRARESE;44;81;12;
373;2017;Navile;Corticella;SAVENA ABBANDONATO;2;51;;
401;2017;Navile;Corticella;SAN SAVINO;2;2;;
406;2017;Navile;Corticella;SAN SAVINO;3;10;;
407;2017;Navile;Corticella;SAN SAVINO;8;10;19;
410;2017;Navile;Corticella;SAN SAVINO;8;22;;
415;2017;Navile;Corticella;SAN SAVINO;24;46;;
419;2017;Navile;Corticella;SAVENA ABBANDONATO;3;2;;
420;2017;Navile;Corticella;SAVENA ABBANDONATO;1;6;;
443;2017;Navile;Corticella;CROCE COPERTA;3;316;;
465;2017;Navile;Corticella;CROCE COPERTA;8;15;;
476;2017;Navile;Corticella;MULINO DEL GOMITO;2;15;;
483;2017;Navile;Corticella;LA DOZZA;3;4;;
485;2017;Navile;Corticella;LA DOZZA;29;77;68;
541;2017;Navile;Lame;TIRO A SEGNO;1;1;;
562;2017;Navile;Lame;BEVERARA;16;279;62;
573;2017;Navile;Lame;BEVERARA;24;39;;
575;2017;Navile;Lame;BEVERARA;19;23;;
589;2017;Navile;Lame;BEVERARA;18;37;26;
595;2017;Navile;Lame;BEVERARA;11;33;;
596;2017;Navile;Lame;BEVERARA;32;257;3;
602;2017;Porto - Saragozza;Marconi;MARCONI-2;13;821;1;
627;2017;Porto - Saragozza;Marconi;MARCONI-2;94;236;256;
634;2017;Porto - Saragozza;Marconi;MARCONI-2;56;185;31;
644;2017;Porto - Saragozza;Marconi;MARCONI-2;28;155;;
664;2017;Porto - Saragozza;Marconi;MARCONI-2;132;326;;
703;2017;Porto - Saragozza;Saffi;ZANARDI;18;1171;;
711;2017;Porto - Saragozza;Saffi;ZANARDI;6;6;;
712;2017;Porto - Saragozza;Saffi;ZANARDI;9;10;;
752;2017;Porto - Saragozza;Saffi;VELODROMO;10;36;;
827;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;4;4;;
851;2017;Borgo Panigale - Reno;Barca;BATTINDARNO;9;10;;
858;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;27;99;24;
863;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;14;20;;
865;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;23;558;;
1003;2017;San Donato - San Vitale;San Donato;VIA DEL LAVORO;54;106;;
1184;2017;Santo Stefano;Colli;PADERNO;1;1;;
1186;2017;Santo Stefano;Colli;PADERNO;1;15;;
1188;2017;Santo Stefano;Colli;PADERNO;7;7;;
1198;2017;Santo Stefano;Colli;PADERNO;2;2;;
1202;2017;Santo Stefano;Colli;PADERNO;3;3;;
1212;2017;Santo Stefano;Galvani;GALVANI-1;45;245;;
1257;2017;Santo Stefano;Galvani;GALVANI-2;25;24;;
1281;2017;Santo Stefano;Galvani;GALVANI-2;23;30;;
1285;2017;Santo Stefano;Galvani;GALVANI-2;52;89;;
1307;2017;Santo Stefano;Murri;MEZZOFANTI;61;142;8;
1324;2017;Santo Stefano;Murri;MEZZOFANTI;15;17;;
1332;2017;Santo Stefano;Murri;DAGNINI;24;39;;
1349;2017;Santo Stefano;Murri;DAGNINI;14;19;;
1351;2017;Santo Stefano;Murri;DAGNINI;7;9;;
1366;2017;Santo Stefano;Murri;DAGNINI;14;27;;
1368;2017;Santo Stefano;Murri;DAGNINI;11;13;;
1385;2017;Santo Stefano;Murri;SIEPELUNGA;11;14;;
1408;2017;Santo Stefano;Murri;CHIESANUOVA;22;29;;
1496;2017;Santo Stefano;Irnerio;IRNERIO-1;29;68;;
1523;2017;Santo Stefano;Irnerio;IRNERIO-1;15;30;;
1549;2017;Santo Stefano;Irnerio;IRNERIO-2;38;65;;
1558;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;42;214;11;
1567;2017;San Donato - San Vitale;S. Vitale;MENGOLI;32;50;;
1594;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;13;16;;
1598;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;3;7;;
1600;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;27;36;;
1616;2017;San Donato - San Vitale;S. Vitale;MENGOLI;18;17;;
1631;2017;San Donato - San Vitale;S. Vitale;MENGOLI;21;28;;
1639;2017;San Donato - San Vitale;S. Vitale;MENGOLI;10;10;;
1645;2017;San Donato - San Vitale;S. Vitale;MENGOLI;6;9;;
1651;2017;San Donato - San Vitale;S. Vitale;MENGOLI;23;34;;
1723;2017;San Donato - San Vitale;S. Vitale;GUELFA;7;7;;
1730;2017;San Donato - San Vitale;S. Vitale;GUELFA;21;32;;
1745;2017;San Donato - San Vitale;S. Vitale;GUELFA;84;160;;
1822;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;18;358;31;
1842;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;13;17;;
1846;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;25;42;;
1853;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;23;26;;
1880;2017;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;63;86;;
1900;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;1;1;;
1901;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;5;7;;
1924;2017;Porto - Saragozza;Costa Saragozza;SAN LUCA;7;14;;
1959;2017;Porto - Saragozza;Malpighi;MALPIGHI-1;30;37;;
1969;2017;Porto - Saragozza;Malpighi;MALPIGHI-1;23;35;2;
1977;2017;Porto - Saragozza;Malpighi;MALPIGHI-2;13;11;;
2005;2017;Savena;Mazzini;LUNGO SAVENA;3;63;;
2016;2017;Savena;Mazzini;FOSSOLO;5;6;;
2036;2017;Savena;Mazzini;FOSSOLO;10;20;;
2041;2017;Savena;Mazzini;DUE MADONNE;11;12;;
2053;2017;Savena;Mazzini;PONTEVECCHIO;2;27;;
2056;2017;Savena;Mazzini;PONTEVECCHIO;13;28;;
2117;2017;Savena;Mazzini;BITONE;4;4;;
2125;2017;Savena;Mazzini;VIA ARNO;1;2;93;
2136;2017;Savena;Mazzini;VIA ARNO;27;45;;
2138;2017;Savena;Mazzini;VIA ARNO;13;27;;
2145;2017;Savena;Mazzini;CAVEDONE;22;33;;
2152;2017;Savena;Mazzini;VIA ARNO;3;3;;
2159;2017;Savena;S. Ruffillo;MONTE DONATO;6;23;;
2162;2017;Savena;S. Ruffillo;VIA TOSCANA;3;3;;
2164;2017;Savena;S. Ruffillo;VIA TOSCANA;10;10;;
2204;2017;Savena;S. Ruffillo;VIA TOSCANA;2;2;101;
2206;2017;Savena;S. Ruffillo;VIA TOSCANA;14;14;;
2216;2017;Savena;S. Ruffillo;CORELLI;20;32;;
2218;2017;Savena;S. Ruffillo;VIA TOSCANA;20;33;10;
2224;2017;Savena;S. Ruffillo;VIA TOSCANA;15;34;;
2237;2017;Savena;S. Ruffillo;VIA TOSCANA;5;7;;
2250;2017;Savena;S. Ruffillo;CORELLI;1;1;;
2256;2017;Savena;S. Ruffillo;CORELLI;13;13;;
2292;2017;Savena;S. Ruffillo;MONTE DONATO;34;53;;
2296;2017;Savena;S. Ruffillo;VIA TOSCANA;8;12;;
2306;2017;Savena;S. Ruffillo;VIA TOSCANA;7;25;;
2332;2017;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;13;26;;
2333;2017;Savena;Mazzini;FOSSOLO;24;52;;
Non disponibile;2017;Non Georeferenziato *;Non Georeferenziato *;Non Georeferenziato *;5389;22436;;
1;2019;Borgo Panigale - Reno;Borgo Panigale;VIA DEL VIVAIO;4;5;;
15;2019;Borgo Panigale - Reno;Borgo Panigale;VIA DEL VIVAIO;2;2;;
31;2019;Borgo Panigale - Reno;Borgo Panigale;AEROPORTO;3;23;;
41;2019;Borgo Panigale - Reno;Borgo Panigale;BARGELLINO;15;148;;
58;2019;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;11;18;;75
62;2019;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;20;24;;
64;2019;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;7;9;;
65;2019;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;8;31;;
78;2019;Borgo Panigale - Reno;Borgo Panigale;DUCATI-VILLAGGIO INA;24;300;;28
98;2019;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;20;26;;217
102;2019;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;8;29;;
105;2019;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;9;12;;
115;2019;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;17;49;;
116;2019;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;9;36;;
126;2019;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;3;23;;
128;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;1;1;;
138;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;14;245;;
154;2019;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;39;87;;
155;2019;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;23;29;;
164;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;2;13;;
165;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;3;4;;
168;2019;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;3;5;;242
172;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;6;20;;
173;2019;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;10;10;;
185;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;4;3;;
186;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;5;8;;
199;2019;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;6;37;;
203;2019;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;9;11;;
207;2019;Navile;Bolognina;CASERME ROSSE-MANIFATTURA;1;19;;
230;2019;Navile;Bolognina;ARCOVEGGIO;26;36;;240
239;2019;Navile;Bolognina;ARCOVEGGIO;13;18;;
245;2019;Navile;Bolognina;ARCOVEGGIO;5;109;;
247;2019;Navile;Bolognina;ARCOVEGGIO;23;31;;
248;2019;Navile;Bolognina;ARCOVEGGIO;16;20;;47
259;2019;Navile;Bolognina;ARCOVEGGIO;8;13;;
268;2019;Navile;Bolognina;ARCOVEGGIO;17;25;;
303;2019;Navile;Bolognina;VIA FERRARESE;15;33;;
304;2019;Navile;Bolognina;VIA FERRARESE;9;51;;
335;2019;Navile;Bolognina;VIA FERRARESE;47;2159;;60
345;2019;Navile;Bolognina;PIAZZA DELL'UNITA';20;190;;
411;2019;Navile;Corticella;SAN SAVINO;14;23;;
423;2019;Navile;Corticella;SAVENA ABBANDONATO;3;8;;
425;2019;Navile;Corticella;SAVENA ABBANDONATO;6;14;;
522;2019;Navile;Lame;LAGHETTI DEL ROSARIO;1;2;;
529;2019;Navile;Lame;TIRO A SEGNO;2;10;;
539;2019;Navile;Lame;PESCAROLA;16;35;;
541;2019;Navile;Lame;TIRO A SEGNO;1;1;;
550;2019;Navile;Lame;PESCAROLA;20;53;;
553;2019;Navile;Lame;PESCAROLA;5;8;;
554;2019;Navile;Lame;PESCAROLA;17;22;;
558;2019;Navile;Lame;BEVERARA;21;284;;
563;2019;Navile;Lame;BEVERARA;22;136;;
581;2019;Navile;Lame;LAZZARETTO;2;2;;
598;2019;Navile;Lame;BEVERARA;31;472;;
625;2019;Porto - Saragozza;Marconi;MARCONI-2;6;14;;
632;2019;Porto - Saragozza;Marconi;MARCONI-2;91;136;;
750;2019;Porto - Saragozza;Saffi;VELODROMO;22;33;;
760;2019;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;22;53;;24
777;2019;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;16;20;;
812;2019;Borgo Panigale - Reno;Barca;BATTINDARNO;11;16;;
861;2019;Borgo Panigale - Reno;Barca;CANALE DI RENO;6;20;;
921;2019;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;32;61;;
931;2019;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;32;46;;
933;2019;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;2;2;;
946;2019;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;2;7;;
1052;2019;San Donato - San Vitale;San Donato;MICHELINO;19;21;;74
1070;2019;San Donato - San Vitale;San Donato;VIA MONDO;22;46;;
1175;2019;Santo Stefano;Colli;PADERNO;4;3;;
1182;2019;Santo Stefano;Colli;PADERNO;2;2;;
1190;2019;Santo Stefano;Colli;PADERNO;7;7;;
1263;2019;Santo Stefano;Galvani;GALVANI-2;65;221;;54
1267;2019;Santo Stefano;Galvani;GALVANI-2;18;22;;
1300;2019;Santo Stefano;Murri;MEZZOFANTI;89;219;;
1336;2019;Santo Stefano;Murri;MEZZOFANTI;46;91;;
1344;2019;Santo Stefano;Murri;MEZZOFANTI;37;56;;
1354;2019;Santo Stefano;Murri;DAGNINI;12;16;;
1525;2019;Santo Stefano;Irnerio;IRNERIO-1;49;143;;
1526;2019;Santo Stefano;Irnerio;IRNERIO-1;58;154;;
1542;2019;Santo Stefano;Irnerio;IRNERIO-1;81;128;;
1543;2019;Santo Stefano;Irnerio;IRNERIO-1;16;19;;
1563;2019;San Donato - San Vitale;S. Vitale;CIRENAICA;30;90;;71
1569;2019;San Donato - San Vitale;S. Vitale;MENGOLI;22;81;;
1624;2019;San Donato - San Vitale;S. Vitale;MENGOLI;7;8;;
1629;2019;San Donato - San Vitale;S. Vitale;MENGOLI;4;5;;
1646;2019;San Donato - San Vitale;S. Vitale;MENGOLI;8;18;;49
1650;2019;San Donato - San Vitale;S. Vitale;MENGOLI;11;10;;
1655;2019;San Donato - San Vitale;S. Vitale;MENGOLI;15;19;;
1667;2019;San Donato - San Vitale;S. Vitale;VIA LARGA;1;107;;
1682;2019;San Donato - San Vitale;S. Vitale;VIA LARGA;1;1;;
1688;2019;San Donato - San Vitale;S. Vitale;VIA LARGA;8;16;;
1693;2019;San Donato - San Vitale;S. Vitale;ROVERI;17;193;;
1697;2019;San Donato - San Vitale;S. Vitale;ROVERI;5;68;;
1698;2019;San Donato - San Vitale;S. Vitale;ROVERI;19;150;;
1732;2019;San Donato - San Vitale;S. Vitale;VIA LARGA;13;1301;;
1738;2019;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;8;27;;
1795;2019;Porto - Saragozza;Costa Saragozza;XXI APRILE;37;43;;
1806;2019;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;41;78;;
1829;2019;Porto - Saragozza;Costa Saragozza;XXI APRILE;6;6;;
1830;2019;Porto - Saragozza;Costa Saragozza;XXI APRILE;4;4;;
1839;2019;Porto - Saragozza;Costa Saragozza;XXI APRILE;2;2;;
1846;2019;Porto - Saragozza;Costa Saragozza;XXI APRILE;28;43;;
2035;2019;Savena;Mazzini;FOSSOLO;16;14;;
2067;2019;Savena;Mazzini;PONTEVECCHIO;18;23;;
2095;2019;Savena;Mazzini;BITONE;11;26;;
2111;2019;Savena;Mazzini;BITONE;1;1;;
2174;2019;Savena;S. Ruffillo;VIA TOSCANA;1;1;;
2193;2019;Savena;S. Ruffillo;VIA TOSCANA;2;2;;
2200;2019;Savena;S. Ruffillo;VIA TOSCANA;5;5;;
2208;2019;Savena;S. Ruffillo;VIA TOSCANA;15;31;;
2214;2019;Savena;S. Ruffillo;VIA TOSCANA;8;16;;
2216;2019;Savena;S. Ruffillo;CORELLI;22;37;;
2247;2019;Savena;S. Ruffillo;VIA TOSCANA;8;17;;
2260;2019;Savena;S. Ruffillo;CORELLI;1;1;;
2268;2019;Savena;S. Ruffillo;CORELLI;8;8;;
2313;2019;Savena;S. Ruffillo;PONTE SAVENA-LA BASTIA;11;16;;
2320;2019;Savena;S. Ruffillo;PONTE SAVENA-LA BASTIA;16;99;;
Non disponibile;2019;Non Georeferenziato *;Non Georeferenziato *;Non Georeferenziato *;3716;17965;;
11;2017;Borgo Panigale - Reno;Borgo Panigale;VIA DEL VIVAIO;1;1;;
18;2017;Borgo Panigale - Reno;Borgo Panigale;VIA DEL VIVAIO;1;1;;
38;2017;Borgo Panigale - Reno;Borgo Panigale;AEROPORTO;1;1;;
62;2017;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;17;21;;
66;2017;Borgo Panigale - Reno;Borgo Panigale;LA BIRRA;1;2;;
77;2017;Borgo Panigale - Reno;Borgo Panigale;DUCATI-VILLAGGIO INA;7;8;164;
99;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;9;12;;
108;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;16;30;;
124;2017;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;43;147;;
178;2017;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;3;10;22;
180;2017;Borgo Panigale - Reno;Borgo Panigale;CASTELDEBOLE;6;23;;
226;2017;Navile;Bolognina;CNR;2;6;;
258;2017;Navile;Bolognina;ARCOVEGGIO;18;36;;
274;2017;Navile;Bolognina;PIAZZA DELL'UNITA';15;17;;
277;2017;Navile;Bolognina;PIAZZA DELL'UNITA';13;36;;
285;2017;Navile;Bolognina;PIAZZA DELL'UNITA';25;63;;
295;2017;Navile;Bolognina;PIAZZA DELL'UNITA';1;32;;
334;2017;Navile;Bolognina;VIA FERRARESE;28;173;;
335;2017;Navile;Bolognina;VIA FERRARESE;42;1795;87;
355;2017;Navile;Bolognina;PIAZZA DELL'UNITA';17;50;;
388;2017;Navile;Corticella;SAN SAVINO;1;1;;
422;2017;Navile;Corticella;SAVENA ABBANDONATO;1;2;;
491;2017;Navile;Corticella;SAVENA ABBANDONATO;3;9;;
546;2017;Navile;Lame;PESCAROLA;5;10;;
553;2017;Navile;Lame;PESCAROLA;10;12;;
561;2017;Navile;Lame;LAGHETTI DEL ROSARIO;4;20;;
609;2017;Porto - Saragozza;Marconi;MARCONI-2;81;652;21;
616;2017;Porto - Saragozza;Marconi;MARCONI-2;30;291;43;
657;2017;Porto - Saragozza;Marconi;MARCONI-2;74;335;171;
693;2017;Porto - Saragozza;Marconi;MARCONI-1;40;76;114;
720;2017;Porto - Saragozza;Saffi;ZANARDI;20;87;;
756;2017;Porto - Saragozza;Saffi;VELODROMO;2;2;;
757;2017;Porto - Saragozza;Saffi;VELODROMO;2;2;;
782;2017;Porto - Saragozza;Saffi;VIA VITTORIO VENETO;2;3;;
825;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;6;6;75;
842;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;5;4;;
844;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;12;16;;
849;2017;Borgo Panigale - Reno;Barca;VILLAGGIO DELLA BARCA;10;11;;
862;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;25;48;;
870;2017;Borgo Panigale - Reno;Barca;CANALE DI RENO;24;50;;
907;2017;Borgo Panigale - Reno;S. Viola;AGUCCHI;14;24;;
914;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;12;20;;
917;2017;Borgo Panigale - Reno;S. Viola;EMILIA PONENTE;25;31;;
941;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;2;2;;
942;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;1;1;;
945;2017;San Donato - San Vitale;San Donato;CADRIANO-CALAMOSCO;5;7;;
995;2017;San Donato - San Vitale;San Donato;VIA DEL LAVORO;45;137;;
1028;2017;San Donato - San Vitale;San Donato;VIA MONDO;30;51;;
1037;2017;San Donato - San Vitale;San Donato;MICHELINO;13;24;;
1043;2017;San Donato - San Vitale;San Donato;VIA MONDO;8;12;;
1059;2017;San Donato - San Vitale;San Donato;VIA MONDO;1;1;11;
1082;2017;San Donato - San Vitale;San Donato;SAN DONNINO;8;9;;
1119;2017;San Donato - San Vitale;San Donato;CAAB;3;4;;
1128;2017;San Donato - San Vitale;San Donato;CAAB;5;151;;
1147;2017;Santo Stefano;Colli;OSSERVANZA;16;28;;
1157;2017;Santo Stefano;Colli;PADERNO;4;38;;
1158;2017;Santo Stefano;Colli;PADERNO;7;9;;
1206;2017;Santo Stefano;Colli;PADERNO;5;5;;
1217;2017;Santo Stefano;Galvani;GALVANI-1;4;7;65;
1236;2017;Santo Stefano;Galvani;GALVANI-2;24;48;;
1251;2017;Santo Stefano;Galvani;GALVANI-2;33;175;2;
1256;2017;Santo Stefano;Galvani;GALVANI-2;111;226;5;
1273;2017;Santo Stefano;Galvani;GALVANI-2;43;89;;
1300;2017;Santo Stefano;Murri;MEZZOFANTI;82;195;;
1301;2017;Santo Stefano;Murri;MEZZOFANTI;21;50;;
1315;2017;Santo Stefano;Murri;DAGNINI;30;53;;
1336;2017;Santo Stefano;Murri;MEZZOFANTI;44;75;;
1343;2017;Santo Stefano;Murri;MEZZOFANTI;16;17;;
1359;2017;Santo Stefano;Murri;MEZZOFANTI;1;1;;
1367;2017;Santo Stefano;Murri;DAGNINI;12;39;;
1396;2017;Santo Stefano;Murri;SIEPELUNGA;1;1;;
1397;2017;Santo Stefano;Murri;SIEPELUNGA;12;14;;
1427;2017;Santo Stefano;Murri;CHIESANUOVA;16;22;;
1433;2017;Santo Stefano;Murri;CHIESANUOVA;6;6;17;
1453;2017;Santo Stefano;Irnerio;IRNERIO-2;15;261;;
1486;2017;Santo Stefano;Irnerio;IRNERIO-1;62;285;;
1504;2017;Santo Stefano;Irnerio;IRNERIO-2;1;3;;
1531;2017;Santo Stefano;Irnerio;IRNERIO-2;18;29;;
1551;2017;Santo Stefano;Irnerio;IRNERIO-2;36;58;;
1588;2017;San Donato - San Vitale;S. Vitale;CIRENAICA;9;19;;
1633;2017;San Donato - San Vitale;S. Vitale;MENGOLI;21;33;;
1658;2017;San Donato - San Vitale;S. Vitale;MENGOLI;29;131;;
1699;2017;San Donato - San Vitale;S. Vitale;ROVERI;7;489;;
1714;2017;San Donato - San Vitale;S. Vitale;ROVERI;22;145;;
1722;2017;San Donato - San Vitale;S. Vitale;GUELFA;33;58;;
1727;2017;San Donato - San Vitale;S. Vitale;GUELFA;7;15;;
1739;2017;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;10;25;;
1754;2017;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;70;449;;
1766;2017;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;10;31;;
1769;2017;San Donato - San Vitale;S. Vitale;GUELFA;39;166;;
1785;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;7;13;;
1788;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;29;41;;
1792;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;26;36;;
1806;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;44;72;;
1820;2017;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;17;20;;
1840;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;2;0;;
1843;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;7;7;;
1848;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;5;5;;
1851;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;21;33;;
1855;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;7;12;;
1858;2017;Porto - Saragozza;Costa Saragozza;XXI APRILE;1;2;;
1866;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;7;7;;
1867;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;26;27;16;
1871;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;22;36;;
1875;2017;Porto - Saragozza;Costa Saragozza;SAN GIUSEPPE;30;54;;
1886;2017;Porto - Saragozza;Costa Saragozza;RAVONE;15;17;;
