﻿Anno;Codice Area Statistica;Area Statistica;Quartiere;Zona;Sesso;Età grandi;Età;Cittadinanza;Residenti;Zona di prossimità
2015;18;San Savino;Navile;Corticella;Femmine;03-05;00-14;Straniera;49;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Femmine;06-14;00-14;Italiana;250;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Femmine;25-34;30-44;Straniera;104;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Femmine;55-64;45-64;Straniera;90;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Femmine;65 e oltre;65 e oltre;Italiana;1625;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Maschi;25-34;30-44;Italiana;137;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Maschi;55-64;45-64;Italiana;420;CORTICELLA - DOZZA
2015;18;San Savino;Navile;Corticella;Maschi;65 e oltre;65 e oltre;Italiana;1195;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Femmine;02 e prima;00-14;Straniera;1;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Femmine;06-14;00-14;Italiana;20;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Femmine;25-34;15-29;Italiana;13;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Femmine;35-44;30-44;Italiana;69;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Femmine;45-54;45-64;Italiana;79;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Maschi;25-34;30-44;Italiana;22;CORTICELLA - DOZZA
2015;19;Savena Abbandonato;Navile;Corticella;Maschi;25-34;30-44;Straniera;7;CORTICELLA - DOZZA
2015;20;Croce Coperta;Navile;Corticella;Femmine;02 e prima;00-14;Italiana;45;CORTICELLA - DOZZA
2015;20;Croce Coperta;Navile;Corticella;Femmine;25-34;15-29;Straniera;53;CORTICELLA - DOZZA
2015;20;Croce Coperta;Navile;Corticella;Femmine;65 e oltre;65 e oltre;Straniera;16;CORTICELLA - DOZZA
2015;20;Croce Coperta;Navile;Corticella;Maschi;03-05;00-14;Straniera;29;CORTICELLA - DOZZA
2015;21;Mulino del Gomito;Navile;Corticella;Femmine;45-54;45-64;Italiana;28;CORTICELLA - DOZZA
2015;21;Mulino del Gomito;Navile;Corticella;Maschi;06-14;00-14;Italiana;9;CORTICELLA - DOZZA
2015;21;Mulino del Gomito;Navile;Corticella;Maschi;45-54;45-64;Italiana;76;CORTICELLA - DOZZA
2015;21;Mulino del Gomito;Navile;Corticella;Maschi;55-64;45-64;Italiana;63;CORTICELLA - DOZZA
2015;22;La Dozza;Navile;Corticella;Femmine;25-34;30-44;Straniera;7;CORTICELLA - DOZZA
2015;22;La Dozza;Navile;Corticella;Femmine;35-44;30-44;Straniera;13;CORTICELLA - DOZZA
2015;23;Laghetti del Rosario;Navile;Lame;Maschi;55-64;45-64;Italiana;21;BERTALIA - NOCE
2015;24;La Noce;Navile;Lame;Femmine;02 e prima;00-14;Straniera;3;BERTALIA - NOCE
2015;24;La Noce;Navile;Lame;Femmine;25-34;15-29;Straniera;9;BERTALIA - NOCE
2015;24;La Noce;Navile;Lame;Femmine;25-34;30-44;Italiana;33;BERTALIA - NOCE
2015;24;La Noce;Navile;Lame;Femmine;45-54;45-64;Italiana;155;BERTALIA - NOCE
2015;24;La Noce;Navile;Lame;Femmine;45-54;45-64;Straniera;10;BERTALIA - NOCE
2015;24;La Noce;Navile;Lame;Maschi;25-34;30-44;Italiana;45;BERTALIA - NOCE
2015;25;Tiro A Segno;Navile;Lame;Femmine;25-34;30-44;Straniera;2;BERTALIA - NOCE
2015;25;Tiro A Segno;Navile;Lame;Femmine;55-64;45-64;Italiana;12;BERTALIA - NOCE
2015;26;Pescarola;Navile;Lame;Femmine;25-34;15-29;Italiana;63;BERTALIA - NOCE
2015;26;Pescarola;Navile;Lame;Femmine;25-34;30-44;Italiana;89;BERTALIA - NOCE
2015;26;Pescarola;Navile;Lame;Femmine;45-54;45-64;Italiana;287;BERTALIA - NOCE
2015;26;Pescarola;Navile;Lame;Maschi;03-05;00-14;Italiana;31;BERTALIA - NOCE
2015;26;Pescarola;Navile;Lame;Maschi;03-05;00-14;Straniera;8;BERTALIA - NOCE
2015;26;Pescarola;Navile;Lame;Maschi;55-64;45-64;Italiana;274;BERTALIA - NOCE
2015;27;Lazzaretto;Navile;Lame;Femmine;03-05;00-14;Straniera;4;BERTALIA - NOCE
2015;27;Lazzaretto;Navile;Lame;Femmine;35-44;30-44;Italiana;39;BERTALIA - NOCE
2015;27;Lazzaretto;Navile;Lame;Maschi;15-24;15-29;Italiana;10;BERTALIA - NOCE
2015;27;Lazzaretto;Navile;Lame;Maschi;45-54;45-64;Italiana;41;BERTALIA - NOCE
2015;27;Lazzaretto;Navile;Lame;Maschi;55-64;45-64;Italiana;19;BERTALIA - NOCE
2015;28;Beverara;Navile;Lame;Maschi;03-05;00-14;Italiana;50;BEVERARA
2015;28;Beverara;Navile;Lame;Maschi;25-34;15-29;Italiana;110;BEVERARA
2015;28;Beverara;Navile;Lame;Maschi;55-64;45-64;Italiana;392;BEVERARA
2015;28;Beverara;Navile;Lame;Maschi;65 e oltre;65 e oltre;Italiana;834;BEVERARA
2015;29;Marconi-2;Porto - Saragozza;Marconi;Femmine;25-34;30-44;Straniera;77;MARCONI
2015;29;Marconi-2;Porto - Saragozza;Marconi;Femmine;45-54;45-64;Straniera;147;MARCONI
2015;29;Marconi-2;Porto - Saragozza;Marconi;Maschi;03-05;00-14;Italiana;115;MARCONI
2015;29;Marconi-2;Porto - Saragozza;Marconi;Maschi;06-14;00-14;Italiana;304;MARCONI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Femmine;03-05;00-14;Italiana;24;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Femmine;25-34;15-29;Italiana;69;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Femmine;45-54;45-64;Straniera;19;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Maschi;02 e prima;00-14;Straniera;8;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Maschi;03-05;00-14;Italiana;27;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Maschi;06-14;00-14;Italiana;50;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Maschi;55-64;45-64;Italiana;130;MALPIGHI
2015;30;Marconi-1;Porto - Saragozza;Marconi;Maschi;65 e oltre;65 e oltre;Italiana;186;MALPIGHI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Femmine;02 e prima;00-14;Straniera;2;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Femmine;25-34;15-29;Straniera;1;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Femmine;65 e oltre;65 e oltre;Italiana;54;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Maschi;02 e prima;00-14;Italiana;1;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Maschi;02 e prima;00-14;Straniera;1;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Maschi;06-14;00-14;Italiana;12;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Maschi;55-64;45-64;Italiana;35;SAFFI
2015;31;Prati di Caprara-Ospedale Maggiore;Porto - Saragozza;Saffi;Maschi;65 e oltre;65 e oltre;Italiana;34;SAFFI
2015;32;Scalo Ravone;Porto - Saragozza;Saffi;Femmine;15-24;15-29;Straniera;1;SAFFI
2015;32;Scalo Ravone;Porto - Saragozza;Saffi;Femmine;25-34;15-29;Italiana;7;SAFFI
2015;32;Scalo Ravone;Porto - Saragozza;Saffi;Maschi;35-44;30-44;Italiana;16;SAFFI
2015;33;Zanardi;Porto - Saragozza;Saffi;Femmine;06-14;00-14;Italiana;147;SAFFI
2015;33;Zanardi;Porto - Saragozza;Saffi;Femmine;25-34;15-29;Italiana;130;SAFFI
2015;33;Zanardi;Porto - Saragozza;Saffi;Femmine;25-34;30-44;Italiana;152;SAFFI
2015;33;Zanardi;Porto - Saragozza;Saffi;Maschi;02 e prima;00-14;Straniera;18;SAFFI
2015;33;Zanardi;Porto - Saragozza;Saffi;Maschi;65 e oltre;65 e oltre;Italiana;572;SAFFI
2015;34;Velodromo;Porto - Saragozza;Saffi;Femmine;65 e oltre;65 e oltre;Italiana;921;SAFFI
2015;34;Velodromo;Porto - Saragozza;Saffi;Maschi;02 e prima;00-14;Straniera;30;SAFFI
2015;34;Velodromo;Porto - Saragozza;Saffi;Maschi;03-05;00-14;Italiana;58;SAFFI
2015;34;Velodromo;Porto - Saragozza;Saffi;Maschi;06-14;00-14;Straniera;40;SAFFI
2015;34;Velodromo;Porto - Saragozza;Saffi;Maschi;15-24;15-29;Italiana;153;SAFFI
2015;34;Velodromo;Porto - Saragozza;Saffi;Maschi;35-44;30-44;Italiana;365;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Femmine;03-05;00-14;Italiana;34;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Femmine;06-14;00-14;Straniera;31;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Femmine;15-24;15-29;Italiana;119;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Femmine;15-24;15-29;Straniera;46;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Femmine;25-34;30-44;Italiana;194;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Femmine;55-64;45-64;Straniera;46;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Maschi;03-05;00-14;Straniera;14;SAFFI
2015;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;Maschi;45-54;45-64;Italiana;353;SAFFI
2015;36;Villaggio della Barca;Borgo Panigale - Reno;Barca;Femmine;35-44;30-44;Straniera;132;BARCA
2015;36;Villaggio della Barca;Borgo Panigale - Reno;Barca;Femmine;65 e oltre;65 e oltre;Italiana;1001;BARCA
2015;36;Villaggio della Barca;Borgo Panigale - Reno;Barca;Maschi;03-05;00-14;Italiana;56;BARCA
2015;36;Villaggio della Barca;Borgo Panigale - Reno;Barca;Maschi;25-34;30-44;Straniera;44;BARCA
2015;37;Battindarno;Borgo Panigale - Reno;Barca;Femmine;02 e prima;00-14;Straniera;29;BARCA
2015;37;Battindarno;Borgo Panigale - Reno;Barca;Femmine;06-14;00-14;Italiana;222;BARCA
2015;37;Battindarno;Borgo Panigale - Reno;Barca;Femmine;35-44;30-44;Italiana;479;BARCA
2015;37;Battindarno;Borgo Panigale - Reno;Barca;Maschi;03-05;00-14;Straniera;35;BARCA
2015;37;Battindarno;Borgo Panigale - Reno;Barca;Maschi;06-14;00-14;Italiana;256;BARCA
2015;37;Battindarno;Borgo Panigale - Reno;Barca;Maschi;45-54;45-64;Italiana;569;BARCA
2015;38;Canale di Reno;Borgo Panigale - Reno;Barca;Femmine;02 e prima;00-14;Straniera;13;BARCA
2015;38;Canale di Reno;Borgo Panigale - Reno;Barca;Femmine;25-34;15-29;Italiana;94;BARCA
2015;38;Canale di Reno;Borgo Panigale - Reno;Barca;Maschi;65 e oltre;65 e oltre;Italiana;827;BARCA
2015;39;Agucchi;Borgo Panigale - Reno;Santa Viola;Femmine;03-05;00-14;Straniera;30;SANTA VIOLA
2015;39;Agucchi;Borgo Panigale - Reno;Santa Viola;Maschi;15-24;15-29;Italiana;110;SANTA VIOLA
2015;39;Agucchi;Borgo Panigale - Reno;Santa Viola;Maschi;25-34;30-44;Straniera;81;SANTA VIOLA
2015;39;Agucchi;Borgo Panigale - Reno;Santa Viola;Maschi;35-44;30-44;Straniera;117;SANTA VIOLA
2015;39;Agucchi;Borgo Panigale - Reno;Santa Viola;Maschi;55-64;45-64;Italiana;214;SANTA VIOLA
2015;40;Emilia Ponente;Borgo Panigale - Reno;Santa Viola;Femmine;02 e prima;00-14;Italiana;90;SANTA VIOLA
2015;40;Emilia Ponente;Borgo Panigale - Reno;Santa Viola;Femmine;03-05;00-14;Italiana;97;SANTA VIOLA
2015;40;Emilia Ponente;Borgo Panigale - Reno;Santa Viola;Femmine;55-64;45-64;Italiana;452;SANTA VIOLA
2015;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;Femmine;02 e prima;00-14;Italiana;8;SAN DONATO NUOVO
2015;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;Femmine;15-24;15-29;Straniera;3;SAN DONATO NUOVO
2015;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;Femmine;25-34;30-44;Italiana;13;SAN DONATO NUOVO
2015;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;Femmine;35-44;30-44;Italiana;70;SAN DONATO NUOVO
2015;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;Femmine;35-44;30-44;Straniera;9;SAN DONATO NUOVO
2015;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;Maschi;02 e prima;00-14;Straniera;2;SAN DONATO NUOVO
2015;43;San Donnino;San Donato - San Vitale;San Donato;Femmine;25-34;15-29;Italiana;40;SAN DONATO VECCHIO
2015;43;San Donnino;San Donato - San Vitale;San Donato;Femmine;35-44;30-44;Straniera;38;SAN DONATO VECCHIO
2015;44;Pilastro;San Donato - San Vitale;San Donato;Femmine;25-34;15-29;Italiana;85;SAN DONATO NUOVO
2015;44;Pilastro;San Donato - San Vitale;San Donato;Femmine;25-34;30-44;Straniera;71;SAN DONATO NUOVO
2015;44;Pilastro;San Donato - San Vitale;San Donato;Femmine;45-54;45-64;Italiana;429;SAN DONATO NUOVO
2015;44;Pilastro;San Donato - San Vitale;San Donato;Maschi;03-05;00-14;Straniera;33;SAN DONATO NUOVO
2015;44;Pilastro;San Donato - San Vitale;San Donato;Maschi;35-44;30-44;Italiana;269;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Femmine;02 e prima;00-14;Italiana;1;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Femmine;03-05;00-14;Straniera;5;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Femmine;25-34;30-44;Straniera;7;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Maschi;15-24;15-29;Italiana;10;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Maschi;25-34;30-44;Italiana;7;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Maschi;35-44;30-44;Straniera;22;SAN DONATO NUOVO
2015;45;CAAB;San Donato - San Vitale;San Donato;Maschi;45-54;45-64;Straniera;7;SAN DONATO NUOVO
2015;46;Scalo Merci San Donato;San Donato - San Vitale;San Donato;Femmine;25-34;30-44;Italiana;2;SAN DONATO NUOVO
2015;47;Via del Lavoro;San Donato - San Vitale;San Donato;Femmine;02 e prima;00-14;Straniera;28;SAN DONATO VECCHIO
2015;47;Via del Lavoro;San Donato - San Vitale;San Donato;Femmine;55-64;45-64;Italiana;380;SAN DONATO VECCHIO
2015;47;Via del Lavoro;San Donato - San Vitale;San Donato;Maschi;35-44;30-44;Italiana;483;SAN DONATO VECCHIO
2015;47;Via del Lavoro;San Donato - San Vitale;San Donato;Maschi;45-54;45-64;Italiana;503;SAN DONATO VECCHIO
2015;47;Via del Lavoro;San Donato - San Vitale;San Donato;Maschi;55-64;45-64;Italiana;375;SAN DONATO VECCHIO
2015;48;Michelino;San Donato - San Vitale;San Donato;Femmine;15-24;15-29;Straniera;48;SAN DONATO VECCHIO
2015;48;Michelino;San Donato - San Vitale;San Donato;Femmine;25-34;15-29;Straniera;62;SAN DONATO VECCHIO
2015;48;Michelino;San Donato - San Vitale;San Donato;Maschi;02 e prima;00-14;Italiana;48;SAN DONATO VECCHIO
2015;48;Michelino;San Donato - San Vitale;San Donato;Maschi;15-24;15-29;Italiana;149;SAN DONATO VECCHIO
2015;48;Michelino;San Donato - San Vitale;San Donato;Maschi;65 e oltre;65 e oltre;Straniera;8;SAN DONATO VECCHIO
2015;49;Via Mondo;San Donato - San Vitale;San Donato;Femmine;15-24;15-29;Straniera;70;SAN DONATO VECCHIO
2015;49;Via Mondo;San Donato - San Vitale;San Donato;Maschi;45-54;45-64;Straniera;72;SAN DONATO VECCHIO
2015;50;Osservanza;Santo Stefano;Colli;Femmine;02 e prima;00-14;Italiana;42;OSSERVANZA - PADERNO
2015;50;Osservanza;Santo Stefano;Colli;Femmine;25-34;30-44;Italiana;91;OSSERVANZA - PADERNO
2015;50;Osservanza;Santo Stefano;Colli;Femmine;65 e oltre;65 e oltre;Italiana;586;OSSERVANZA - PADERNO
2015;51;San Michele in Bosco;Santo Stefano;Colli;Maschi;03-05;00-14;Italiana;34;OSSERVANZA - PADERNO
2015;51;San Michele in Bosco;Santo Stefano;Colli;Maschi;15-24;15-29;Straniera;4;OSSERVANZA - PADERNO
2015;51;San Michele in Bosco;Santo Stefano;Colli;Maschi;25-34;30-44;Italiana;52;OSSERVANZA - PADERNO
2015;52;Paderno;Santo Stefano;Colli;Femmine;03-05;00-14;Straniera;2;OSSERVANZA - PADERNO
2015;52;Paderno;Santo Stefano;Colli;Femmine;06-14;00-14;Straniera;6;OSSERVANZA - PADERNO
2015;52;Paderno;Santo Stefano;Colli;Femmine;15-24;15-29;Italiana;67;OSSERVANZA - PADERNO
2015;52;Paderno;Santo Stefano;Colli;Femmine;25-34;15-29;Straniera;9;OSSERVANZA - PADERNO
2015;52;Paderno;Santo Stefano;Colli;Maschi;06-14;00-14;Italiana;92;OSSERVANZA - PADERNO
2015;52;Paderno;Santo Stefano;Colli;Maschi;35-44;30-44;Italiana;78;OSSERVANZA - PADERNO
2015;53;Galvani-1;Santo Stefano;Galvani;Femmine;55-64;45-64;Straniera;13;GALVANI
2015;53;Galvani-1;Santo Stefano;Galvani;Maschi;35-44;30-44;Italiana;108;GALVANI
2015;54;Galvani-2;Santo Stefano;Galvani;Femmine;45-54;45-64;Straniera;137;GALVANI
2015;54;Galvani-2;Santo Stefano;Galvani;Femmine;55-64;45-64;Straniera;122;GALVANI
2015;54;Galvani-2;Santo Stefano;Galvani;Maschi;03-05;00-14;Straniera;14;GALVANI
2015;54;Galvani-2;Santo Stefano;Galvani;Maschi;35-44;30-44;Italiana;708;GALVANI
2015;54;Galvani-2;Santo Stefano;Galvani;Maschi;65 e oltre;65 e oltre;Italiana;1008;GALVANI
2015;55;Giardini Margherita;Santo Stefano;Murri;Femmine;55-64;45-64;Straniera;1;MURRI
2015;55;Giardini Margherita;Santo Stefano;Murri;Maschi;06-14;00-14;Italiana;3;MURRI
2015;55;Giardini Margherita;Santo Stefano;Murri;Maschi;35-44;30-44;Italiana;2;MURRI
2015;56;Mezzofanti;Santo Stefano;Murri;Femmine;15-24;15-29;Italiana;280;MURRI
2015;56;Mezzofanti;Santo Stefano;Murri;Femmine;25-34;30-44;Italiana;183;MURRI
2015;56;Mezzofanti;Santo Stefano;Murri;Maschi;06-14;00-14;Italiana;242;MURRI
2015;56;Mezzofanti;Santo Stefano;Murri;Maschi;06-14;00-14;Straniera;19;MURRI
2015;57;Siepelunga;Santo Stefano;Murri;Femmine;06-14;00-14;Italiana;160;MURRI
2015;57;Siepelunga;Santo Stefano;Murri;Femmine;35-44;30-44;Italiana;244;MURRI
2015;57;Siepelunga;Santo Stefano;Murri;Femmine;35-44;30-44;Straniera;61;MURRI
2015;57;Siepelunga;Santo Stefano;Murri;Femmine;65 e oltre;65 e oltre;Straniera;14;MURRI
2015;57;Siepelunga;Santo Stefano;Murri;Maschi;03-05;00-14;Straniera;5;MURRI
2015;58;Dagnini;Santo Stefano;Murri;Femmine;06-14;00-14;Straniera;54;MURRI
2015;58;Dagnini;Santo Stefano;Murri;Femmine;35-44;30-44;Straniera;132;MURRI
2015;58;Dagnini;Santo Stefano;Murri;Femmine;65 e oltre;65 e oltre;Italiana;1605;MURRI
2015;58;Dagnini;Santo Stefano;Murri;Maschi;35-44;30-44;Italiana;541;MURRI
2015;58;Dagnini;Santo Stefano;Murri;Maschi;35-44;30-44;Straniera;125;MURRI
2015;59;Chiesanuova;Santo Stefano;Murri;Femmine;02 e prima;00-14;Straniera;16;MURRI
2015;59;Chiesanuova;Santo Stefano;Murri;Femmine;06-14;00-14;Italiana;195;MURRI
2015;59;Chiesanuova;Santo Stefano;Murri;Maschi;06-14;00-14;Italiana;200;MURRI
2015;59;Chiesanuova;Santo Stefano;Murri;Maschi;65 e oltre;65 e oltre;Straniera;5;MURRI
2015;60;Irnerio-1;Santo Stefano;Irnerio;Femmine;25-34;15-29;Straniera;34;IRNERIO
2015;60;Irnerio-1;Santo Stefano;Irnerio;Femmine;45-54;45-64;Straniera;40;IRNERIO
2015;60;Irnerio-1;Santo Stefano;Irnerio;Maschi;02 e prima;00-14;Italiana;33;IRNERIO
2015;60;Irnerio-1;Santo Stefano;Irnerio;Maschi;25-34;15-29;Italiana;105;IRNERIO
2015;60;Irnerio-1;Santo Stefano;Irnerio;Maschi;25-34;15-29;Straniera;25;IRNERIO
2015;60;Irnerio-1;Santo Stefano;Irnerio;Maschi;25-34;30-44;Italiana;117;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Femmine;02 e prima;00-14;Straniera;14;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Femmine;03-05;00-14;Italiana;81;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Femmine;15-24;15-29;Straniera;69;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Femmine;35-44;30-44;Italiana;703;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Maschi;03-05;00-14;Italiana;75;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Maschi;06-14;00-14;Italiana;200;IRNERIO
2015;61;Irnerio-2;Santo Stefano;Irnerio;Maschi;25-34;15-29;Straniera;72;IRNERIO
2015;62;Cirenaica;San Donato - San Vitale;San Vitale;Femmine;03-05;00-14;Straniera;31;CIRENAICA - MASSARENTI - SCANDELLARA
2015;62;Cirenaica;San Donato - San Vitale;San Vitale;Femmine;15-24;15-29;Straniera;55;CIRENAICA - MASSARENTI - SCANDELLARA
2015;62;Cirenaica;San Donato - San Vitale;San Vitale;Maschi;06-14;00-14;Straniera;68;CIRENAICA - MASSARENTI - SCANDELLARA
2015;62;Cirenaica;San Donato - San Vitale;San Vitale;Maschi;25-34;15-29;Straniera;51;CIRENAICA - MASSARENTI - SCANDELLARA
2015;62;Cirenaica;San Donato - San Vitale;San Vitale;Maschi;45-54;45-64;Straniera;83;CIRENAICA - MASSARENTI - SCANDELLARA
2015;63;Scandellara;San Donato - San Vitale;San Vitale;Femmine;25-34;15-29;Straniera;7;CIRENAICA - MASSARENTI - SCANDELLARA
2015;63;Scandellara;San Donato - San Vitale;San Vitale;Maschi;03-05;00-14;Straniera;5;CIRENAICA - MASSARENTI - SCANDELLARA
2015;63;Scandellara;San Donato - San Vitale;San Vitale;Maschi;06-14;00-14;Straniera;5;CIRENAICA - MASSARENTI - SCANDELLARA
2015;63;Scandellara;San Donato - San Vitale;San Vitale;Maschi;25-34;15-29;Straniera;5;CIRENAICA - MASSARENTI - SCANDELLARA
2015;63;Scandellara;San Donato - San Vitale;San Vitale;Maschi;35-44;30-44;Straniera;5;CIRENAICA - MASSARENTI - SCANDELLARA
2015;64;Via Larga;San Donato - San Vitale;San Vitale;Femmine;35-44;30-44;Straniera;10;CIRENAICA - MASSARENTI - SCANDELLARA
2015;64;Via Larga;San Donato - San Vitale;San Vitale;Femmine;45-54;45-64;Straniera;7;CIRENAICA - MASSARENTI - SCANDELLARA
2015;64;Via Larga;San Donato - San Vitale;San Vitale;Maschi;15-24;15-29;Straniera;11;CIRENAICA - MASSARENTI - SCANDELLARA
2015;65;Roveri;San Donato - San Vitale;San Vitale;Femmine;06-14;00-14;Straniera;2;CROCE DEL BIACCO - ROVERI
2015;65;Roveri;San Donato - San Vitale;San Vitale;Femmine;65 e oltre;65 e oltre;Italiana;78;CROCE DEL BIACCO - ROVERI
2015;65;Roveri;San Donato - San Vitale;San Vitale;Maschi;35-44;30-44;Italiana;50;CROCE DEL BIACCO - ROVERI
2015;66;Ospedale Sant'Orsola;San Donato - San Vitale;San Vitale;Femmine;02 e prima;00-14;Straniera;2;CIRENAICA - MASSARENTI - SCANDELLARA
2015;66;Ospedale Sant'Orsola;San Donato - San Vitale;San Vitale;Femmine;25-34;30-44;Straniera;1;CIRENAICA - MASSARENTI - SCANDELLARA
2015;66;Ospedale Sant'Orsola;San Donato - San Vitale;San Vitale;Maschi;15-24;15-29;Italiana;1;CIRENAICA - MASSARENTI - SCANDELLARA
2015;66;Ospedale Sant'Orsola;San Donato - San Vitale;San Vitale;Maschi;25-34;15-29;Straniera;2;CIRENAICA - MASSARENTI - SCANDELLARA
2015;66;Ospedale Sant'Orsola;San Donato - San Vitale;San Vitale;Maschi;55-64;45-64;Italiana;2;CIRENAICA - MASSARENTI - SCANDELLARA
