year,area_name,quartiere_name,zona_name,census_section,n_local_units,n_workers_private,n_workers_public,n_students
2019,DUCATI-VILLAGGIO INA,Borgo Panigale - Reno,Borgo Panigale,78,24,300,0,28
2019,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,98,20,26,0,217
2019,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,102,8,29,0,0
2019,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,105,9,12,0,0
2019,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,115,17,49,0,0
2019,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,116,9,36,0,0
2019,TRIUMVIRATO-PIETRA,Borgo Panigale - Reno,Borgo Panigale,126,3,23,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,128,1,1,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,138,14,245,0,0
2019,TRIUMVIRATO-PIETRA,Borgo Panigale - Reno,Borgo Panigale,154,39,87,0,0
2019,TRIUMVIRATO-PIETRA,Borgo Panigale - Reno,Borgo Panigale,155,23,29,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,164,2,13,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,165,3,4,0,0
2019,CASTELDEBOLE,Borgo Panigale - Reno,Borgo Panigale,168,3,5,0,242
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,172,6,20,0,0
2019,CASTELDEBOLE,Borgo Panigale - Reno,Borgo Panigale,173,10,10,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,185,4,3,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,186,5,8,0,0
2019,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,199,6,37,0,0
2019,CASTELDEBOLE,Borgo Panigale - Reno,Borgo Panigale,203,9,11,0,0
2019,CASERME ROSSE-MANIFATTURA,Navile,Bolognina,207,1,19,0,0
2019,ARCOVEGGIO,Navile,Bolognina,230,26,36,0,240
2019,ARCOVEGGIO,Navile,Bolognina,239,13,18,0,0
2019,ARCOVEGGIO,Navile,Bolognina,245,5,109,0,0
2019,ARCOVEGGIO,Navile,Bolognina,247,23,31,0,0
2019,ARCOVEGGIO,Navile,Bolognina,248,16,20,0,47
2019,ARCOVEGGIO,Navile,Bolognina,259,8,13,0,0
2019,ARCOVEGGIO,Navile,Bolognina,268,17,25,0,0
2019,VIA FERRARESE,Navile,Bolognina,303,15,33,0,0
2019,VIA FERRARESE,Navile,Bolognina,304,9,51,0,0
2019,VIA FERRARESE,Navile,Bolognina,335,47,2159,0,60
2019,PIAZZA DELL'UNITA',Navile,Bolognina,345,20,190,0,0
2019,SAN SAVINO,Navile,Corticella,411,14,23,0,0
2019,SAVENA ABBANDONATO,Navile,Corticella,423,3,8,0,0
2019,SAVENA ABBANDONATO,Navile,Corticella,425,6,14,0,0
2019,LAGHETTI DEL ROSARIO,Navile,Lame,522,1,2,0,0
2019,TIRO A SEGNO,Navile,Lame,529,2,10,0,0
2019,PESCAROLA,Navile,Lame,539,16,35,0,0
2019,TIRO A SEGNO,Navile,Lame,541,1,1,0,0
2019,PESCAROLA,Navile,Lame,550,20,53,0,0
2019,PESCAROLA,Navile,Lame,553,5,8,0,0
2019,PESCAROLA,Navile,Lame,554,17,22,0,0
2019,BEVERARA,Navile,Lame,558,21,284,0,0
2019,BEVERARA,Navile,Lame,563,22,136,0,0
2019,LAZZARETTO,Navile,Lame,581,2,2,0,0
2019,BEVERARA,Navile,Lame,598,31,472,0,0
2019,MARCONI-2,Porto - Saragozza,Marconi,625,6,14,0,0
2019,MARCONI-2,Porto - Saragozza,Marconi,632,91,136,0,0
2019,VELODROMO,Porto - Saragozza,Saffi,750,22,33,0,0
2019,VIA VITTORIO VENETO,Porto - Saragozza,Saffi,760,22,53,0,24
2019,VIA VITTORIO VENETO,Porto - Saragozza,Saffi,777,16,20,0,0
2019,BATTINDARNO,Borgo Panigale - Reno,Barca,812,11,16,0,0
2019,CANALE DI RENO,Borgo Panigale - Reno,Barca,861,6,20,0,0
2019,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,921,32,61,0,0
2019,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,931,32,46,0,0
2019,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,933,2,2,0,0
2019,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,946,2,7,0,0
2019,MICHELINO,San Donato - San Vitale,San Donato,1052,19,21,0,74
2019,VIA MONDO,San Donato - San Vitale,San Donato,1070,22,46,0,0
2019,PADERNO,Santo Stefano,Colli,1175,4,3,0,0
2019,PADERNO,Santo Stefano,Colli,1182,2,2,0,0
2019,PADERNO,Santo Stefano,Colli,1190,7,7,0,0
2019,GALVANI-2,Santo Stefano,Galvani,1263,65,221,0,54
2019,GALVANI-2,Santo Stefano,Galvani,1267,18,22,0,0
2019,MEZZOFANTI,Santo Stefano,Murri,1300,89,219,0,0
2019,MEZZOFANTI,Santo Stefano,Murri,1336,46,91,0,0
2019,MEZZOFANTI,Santo Stefano,Murri,1344,37,56,0,0
2019,DAGNINI,Santo Stefano,Murri,1354,12,16,0,0
2019,IRNERIO-1,Santo Stefano,Irnerio,1525,49,143,0,0
2019,IRNERIO-1,Santo Stefano,Irnerio,1526,58,154,0,0
2019,IRNERIO-1,Santo Stefano,Irnerio,1542,81,128,0,0
2019,IRNERIO-1,Santo Stefano,Irnerio,1543,16,19,0,0
2019,CIRENAICA,San Donato - San Vitale,S. Vitale,1563,30,90,0,71
2019,MENGOLI,San Donato - San Vitale,S. Vitale,1569,22,81,0,0
2019,MENGOLI,San Donato - San Vitale,S. Vitale,1624,7,8,0,0
2019,MENGOLI,San Donato - San Vitale,S. Vitale,1629,4,5,0,0
2019,MENGOLI,San Donato - San Vitale,S. Vitale,1646,8,18,0,49
2019,MENGOLI,San Donato - San Vitale,S. Vitale,1650,11,10,0,0
2019,MENGOLI,San Donato - San Vitale,S. Vitale,1655,15,19,0,0
2019,VIA LARGA,San Donato - San Vitale,S. Vitale,1667,1,107,0,0
2019,VIA LARGA,San Donato - San Vitale,S. Vitale,1682,1,1,0,0
2019,VIA LARGA,San Donato - San Vitale,S. Vitale,1688,8,16,0,0
2019,ROVERI,San Donato - San Vitale,S. Vitale,1693,17,193,0,0
2019,ROVERI,San Donato - San Vitale,S. Vitale,1697,5,68,0,0
2019,ROVERI,San Donato - San Vitale,S. Vitale,1698,19,150,0,0
2019,VIA LARGA,San Donato - San Vitale,S. Vitale,1732,13,1301,0,0
2019,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1738,8,27,0,0
2019,XXI APRILE,Porto - Saragozza,Costa Saragozza,1795,37,43,0,0
2019,SAN GIUSEPPE,Porto - Saragozza,Costa Saragozza,1806,41,78,0,0
2019,XXI APRILE,Porto - Saragozza,Costa Saragozza,1829,6,6,0,0
2019,XXI APRILE,Porto - Saragozza,Costa Saragozza,1830,4,4,0,0
2019,XXI APRILE,Porto - Saragozza,Costa Saragozza,1839,2,2,0,0
2019,XXI APRILE,Porto - Saragozza,Costa Saragozza,1846,28,43,0,0
2019,FOSSOLO,Savena,Mazzini,2035,16,14,0,0
2019,PONTEVECCHIO,Savena,Mazzini,2067,18,23,0,0
2019,BITONE,Savena,Mazzini,2095,11,26,0,0
2019,BITONE,Savena,Mazzini,2111,1,1,0,0
2019,VIA TOSCANA,Savena,S. Ruffillo,2174,1,1,0,0
2019,VIA TOSCANA,Savena,S. Ruffillo,2193,2,2,0,0
2019,VIA TOSCANA,Savena,S. Ruffillo,2200,5,5,0,0
2019,VIA TOSCANA,Savena,S. Ruffillo,2208,15,31,0,0
2019,VIA TOSCANA,Savena,S. Ruffillo,2214,8,16,0,0
2019,CORELLI,Savena,S. Ruffillo,2216,22,37,0,0
2019,VIA TOSCANA,Savena,S. Ruffillo,2247,8,17,0,0
2019,CORELLI,Savena,S. Ruffillo,2260,1,1,0,0
2019,CORELLI,Savena,S. Ruffillo,2268,8,8,0,0
2019,PONTE SAVENA-LA BASTIA,Savena,S. Ruffillo,2313,11,16,0,0
2019,PONTE SAVENA-LA BASTIA,Savena,S. Ruffillo,2320,16,99,0,0
2019,Non Georeferenziato *,Non Georeferenziato *,Non Georeferenziato *,Non disponibile,3716,17965,0,0
2018,BARGELLINO,Borgo Panigale - Reno,Borgo Panigale,22,24,315,0,0
2018,LA BIRRA,Borgo Panigale - Reno,Borgo Panigale,58,11,20,0,0
2018,LA BIRRA,Borgo Panigale - Reno,Borgo Panigale,64,5,7,0,0
2018,DUCATI-VILLAGGIO INA,Borgo Panigale - Reno,Borgo Panigale,69,32,52,0,0
2018,DUCATI-VILLAGGIO INA,Borgo Panigale - Reno,Borgo Panigale,70,5,5,0,0
2018,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,92,1,6,0,0
2018,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,98,18,25,0,0
2018,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,109,18,27,0,0
2018,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,118,3,3,0,0
2018,BORGO CENTRO,Borgo Panigale - Reno,Borgo Panigale,141,2,5,0,0
2018,TRIUMVIRATO-PIETRA,Borgo Panigale - Reno,Borgo Panigale,147,22,26,0,0
2018,TRIUMVIRATO-PIETRA,Borgo Panigale - Reno,Borgo Panigale,149,20,37,0,0
2018,TRIUMVIRATO-PIETRA,Borgo Panigale - Reno,Borgo Panigale,153,40,145,0,0
2018,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,163,1,17,0,0
2018,CASTELDEBOLE,Borgo Panigale - Reno,Borgo Panigale,178,3,9,0,0
2018,CASTELDEBOLE,Borgo Panigale - Reno,Borgo Panigale,182,23,30,0,0
2018,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,185,4,3,0,0
2018,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,194,5,18,0,0
2018,CASTELDEBOLE,Borgo Panigale - Reno,Borgo Panigale,197,7,11,0,0
2018,CASERME ROSSE-MANIFATTURA,Navile,Bolognina,215,1,1,0,0
2018,CASERME ROSSE-MANIFATTURA,Navile,Bolognina,221,9,101,0,0
2018,ARCOVEGGIO,Navile,Bolognina,230,29,40,0,0
2018,ARCOVEGGIO,Navile,Bolognina,244,4,9,0,0
2018,ARCOVEGGIO,Navile,Bolognina,245,2,10,0,0
2018,ARCOVEGGIO,Navile,Bolognina,259,6,9,0,0
2018,ARCOVEGGIO,Navile,Bolognina,260,10,12,0,0
2018,ARCOVEGGIO,Navile,Bolognina,264,5,4,0,0
2018,ARCOVEGGIO,Navile,Bolognina,268,23,35,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,282,8,7,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,285,24,61,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,291,12,22,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,292,1,1,0,0
2018,VIA FERRARESE,Navile,Bolognina,314,6,8,0,0
2018,VIA FERRARESE,Navile,Bolognina,316,25,56,0,0
2018,VIA FERRARESE,Navile,Bolognina,317,27,37,0,0
2018,VIA FERRARESE,Navile,Bolognina,318,21,34,0,0
2018,VIA FERRARESE,Navile,Bolognina,327,16,27,0,0
2018,VIA FERRARESE,Navile,Bolognina,334,30,180,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,341,14,29,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,353,14,23,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,354,8,120,0,0
2018,PIAZZA DELL'UNITA',Navile,Bolognina,366,5,15,0,0
2018,SAN SAVINO,Navile,Corticella,382,15,14,0,0
2018,SAN SAVINO,Navile,Corticella,411,15,24,0,0
2018,SAVENA ABBANDONATO,Navile,Corticella,420,1,7,0,0
2018,CROCE COPERTA,Navile,Corticella,437,9,58,0,0
2018,CROCE COPERTA,Navile,Corticella,438,34,357,0,0
2018,CROCE COPERTA,Navile,Corticella,450,10,101,0,0
2018,CROCE COPERTA,Navile,Corticella,453,5,26,0,0
2018,CROCE COPERTA,Navile,Corticella,457,5,17,0,0
2018,CROCE COPERTA,Navile,Corticella,463,72,177,0,0
2018,CROCE COPERTA,Navile,Corticella,471,7,138,0,0
2018,TIRO A SEGNO,Navile,Lame,525,4,5,0,0
2018,TIRO A SEGNO,Navile,Lame,527,2,7,0,0
2018,PESCAROLA,Navile,Lame,534,1,5,0,0
2018,PESCAROLA,Navile,Lame,555,1,1,0,0
2018,BEVERARA,Navile,Lame,557,6,133,0,0
2018,BEVERARA,Navile,Lame,570,16,400,0,0
2018,LAZZARETTO,Navile,Lame,581,3,7,0,0
2018,LAZZARETTO,Navile,Lame,583,1,15,0,0
2018,BEVERARA,Navile,Lame,598,36,482,0,0
2018,BEVERARA,Navile,Lame,599,3,1416,0,0
2018,MARCONI-2,Porto - Saragozza,Marconi,604,73,337,0,0
2018,MARCONI-2,Porto - Saragozza,Marconi,619,56,89,0,0
2018,MARCONI-2,Porto - Saragozza,Marconi,627,91,211,0,0
2018,MARCONI-2,Porto - Saragozza,Marconi,642,15,29,0,0
2018,MARCONI-2,Porto - Saragozza,Marconi,652,71,120,0,0
2018,MARCONI-1,Porto - Saragozza,Marconi,681,95,215,0,0
2018,PRATI DI CAPRARA-OSPEDALE MAGGIORE,Porto - Saragozza,Saffi,701,5,5,0,0
2018,ZANARDI,Porto - Saragozza,Saffi,710,1,1,0,0
2018,ZANARDI,Porto - Saragozza,Saffi,729,21,27,0,0
2018,VELODROMO,Porto - Saragozza,Saffi,736,74,314,0,0
2018,VELODROMO,Porto - Saragozza,Saffi,759,12,14,0,0
2018,VIA VITTORIO VENETO,Porto - Saragozza,Saffi,765,24,23,0,0
2018,VIA VITTORIO VENETO,Porto - Saragozza,Saffi,767,8,9,0,0
2018,VIA VITTORIO VENETO,Porto - Saragozza,Saffi,782,3,4,0,0
2018,BATTINDARNO,Borgo Panigale - Reno,Barca,786,13,14,0,0
2018,BATTINDARNO,Borgo Panigale - Reno,Barca,810,11,30,0,0
2018,VILLAGGIO DELLA BARCA,Borgo Panigale - Reno,Barca,826,7,9,0,0
2018,VILLAGGIO DELLA BARCA,Borgo Panigale - Reno,Barca,834,2,2,0,0
2018,VILLAGGIO DELLA BARCA,Borgo Panigale - Reno,Barca,844,10,15,0,0
2018,CANALE DI RENO,Borgo Panigale - Reno,Barca,869,16,23,0,0
2018,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,908,71,125,0,0
2018,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,921,31,58,0,0
2018,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,922,24,27,0,0
2018,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,923,45,1452,0,0
2018,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,924,11,15,0,0
2018,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,925,3,22,0,0
2018,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,933,1,1,0,0
2018,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,934,2,1,0,0
2018,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,942,1,1,0,0
2018,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,949,2,2,0,0
2018,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,954,1,1,0,0
2018,VIA DEL LAVORO,San Donato - San Vitale,San Donato,984,11,16,0,0
2018,VIA DEL LAVORO,San Donato - San Vitale,San Donato,988,60,95,0,0
2018,VIA DEL LAVORO,San Donato - San Vitale,San Donato,992,2,13,0,0
2018,VIA DEL LAVORO,San Donato - San Vitale,San Donato,998,5,151,0,0
2018,MICHELINO,San Donato - San Vitale,San Donato,1020,10,674,0,0
2018,MICHELINO,San Donato - San Vitale,San Donato,1024,60,177,0,0
2018,VIA DEL LAVORO,San Donato - San Vitale,San Donato,1025,1,2,0,0
2018,VIA MONDO,San Donato - San Vitale,San Donato,1028,33,56,0,0
2018,VIA MONDO,San Donato - San Vitale,San Donato,1038,8,12,0,0
2018,MICHELINO,San Donato - San Vitale,San Donato,1052,14,14,0,0
2018,VIA MONDO,San Donato - San Vitale,San Donato,1067,8,10,0,0
2018,PILASTRO,San Donato - San Vitale,San Donato,1086,34,257,0,0
2018,PILASTRO,San Donato - San Vitale,San Donato,1099,11,13,0,0
2018,PILASTRO,San Donato - San Vitale,San Donato,1105,3,12,0,0
2018,OSSERVANZA,Santo Stefano,Colli,1132,71,81,0,0
2018,OSSERVANZA,Santo Stefano,Colli,1152,17,18,0,0
2018,SAN MICHELE IN BOSCO,Santo Stefano,Colli,1165,60,74,0,0
2018,PADERNO,Santo Stefano,Colli,1183,18,41,0,0
2018,PADERNO,Santo Stefano,Colli,1188,6,7,0,0
2018,GALVANI-1,Santo Stefano,Galvani,1209,34,104,0,0
2018,GALVANI-1,Santo Stefano,Galvani,1210,45,136,0,0
2018,GALVANI-1,Santo Stefano,Galvani,1213,87,433,0,0
2018,GALVANI-1,Santo Stefano,Galvani,1224,51,104,0,0
2018,GALVANI-2,Santo Stefano,Galvani,1249,37,70,0,0
2018,GALVANI-2,Santo Stefano,Galvani,1255,39,49,0,0
2018,GALVANI-2,Santo Stefano,Galvani,1273,46,114,0,0
2018,GALVANI-2,Santo Stefano,Galvani,1295,31,59,0,0
2018,MEZZOFANTI,Santo Stefano,Murri,1310,38,125,0,0
2018,DAGNINI,Santo Stefano,Murri,1331,27,41,0,0
2018,DAGNINI,Santo Stefano,Murri,1332,26,40,0,0
2018,MEZZOFANTI,Santo Stefano,Murri,1340,25,33,0,0
2018,DAGNINI,Santo Stefano,Murri,1348,18,29,0,0
2018,DAGNINI,Santo Stefano,Murri,1349,15,16,0,0
2018,DAGNINI,Santo Stefano,Murri,1356,1,1,0,0
2018,MEZZOFANTI,Santo Stefano,Murri,1358,15,25,0,0
2018,MEZZOFANTI,Santo Stefano,Murri,1359,1,1,0,0
2018,GIARDINI MARGHERITA,Santo Stefano,Murri,1381,2,2,0,0
2018,SIEPELUNGA,Santo Stefano,Murri,1385,7,10,0,0
2018,SIEPELUNGA,Santo Stefano,Murri,1395,2,2,0,0
2018,SIEPELUNGA,Santo Stefano,Murri,1405,6,6,0,0
2018,CHIESANUOVA,Santo Stefano,Murri,1407,21,28,0,0
2018,CHIESANUOVA,Santo Stefano,Murri,1413,44,56,0,0
2018,CHIESANUOVA,Santo Stefano,Murri,1420,19,24,0,0
2018,CHIESANUOVA,Santo Stefano,Murri,1423,31,56,0,0
2018,CHIESANUOVA,Santo Stefano,Murri,1441,45,62,0,0
2018,CHIESANUOVA,Santo Stefano,Murri,1443,9,9,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1471,18,478,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1477,36,64,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1479,31,45,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1484,11,21,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1502,2,0,0,0
2018,IRNERIO-1,Santo Stefano,Irnerio,1519,48,103,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1531,21,37,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1532,36,56,0,0
2018,IRNERIO-1,Santo Stefano,Irnerio,1542,78,115,0,0
2018,IRNERIO-1,Santo Stefano,Irnerio,1543,13,36,0,0
2018,IRNERIO-2,Santo Stefano,Irnerio,1551,38,56,0,0
2018,CIRENAICA,San Donato - San Vitale,S. Vitale,1557,38,92,0,0
2018,CIRENAICA,San Donato - San Vitale,S. Vitale,1558,45,258,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1567,29,47,0,0
2018,CIRENAICA,San Donato - San Vitale,S. Vitale,1582,6,10,0,0
2018,CIRENAICA,San Donato - San Vitale,S. Vitale,1589,13,18,0,0
2018,CIRENAICA,San Donato - San Vitale,S. Vitale,1591,4,7,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1628,1,1,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1629,5,6,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1636,19,35,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1642,15,16,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1644,24,30,0,0
2018,MENGOLI,San Donato - San Vitale,S. Vitale,1661,11,33,0,0
2018,SCANDELLARA,San Donato - San Vitale,S. Vitale,1679,6,8,0,0
2018,VIA LARGA,San Donato - San Vitale,S. Vitale,1686,6,41,0,0
2018,ROVERI,San Donato - San Vitale,S. Vitale,1698,19,103,0,0
2018,ROVERI,San Donato - San Vitale,S. Vitale,1710,6,159,0,0
2018,ROVERI,San Donato - San Vitale,S. Vitale,1734,29,188,0,0
2018,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1751,2,12,0,0
2018,STRADELLI GUELFI,San Donato - San Vitale,S. Vitale,1761,2,16,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1788,29,39,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1789,12,38,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1792,24,34,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1797,29,57,0,0
2018,STADIO-MELONCELLO,Porto - Saragozza,Costa Saragozza,1816,18,24,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1822,19,341,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1833,10,11,0,0
2018,XXI APRILE,Porto - Saragozza,Costa Saragozza,1848,11,11,0,0
2018,SAN GIUSEPPE,Porto - Saragozza,Costa Saragozza,1867,29,32,0,0
2018,SAN LUCA,Porto - Saragozza,Costa Saragozza,1882,9,9,0,0
2018,SAN GIUSEPPE,Porto - Saragozza,Costa Saragozza,1904,9,10,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1933,60,91,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1936,42,66,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1939,25,38,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1940,84,141,0,0
2018,MALPIGHI-1,Porto - Saragozza,Malpighi,1957,4,10,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1987,3,8,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1988,101,202,0,0
2018,FOSSOLO,Savena,Mazzini,2004,34,82,0,0
2018,LUNGO SAVENA,Savena,Mazzini,2005,3,74,0,0
2018,DUE MADONNE,Savena,Mazzini,2043,2,2,0,0
2018,PONTEVECCHIO,Savena,Mazzini,2057,17,48,0,0
2018,PONTEVECCHIO,Savena,Mazzini,2060,3,3,0,0
2018,PONTEVECCHIO,Savena,Mazzini,2062,4,4,0,0
2018,BITONE,Savena,Mazzini,2084,7,7,0,0
2018,BITONE,Savena,Mazzini,2087,39,63,0,0
2018,BITONE,Savena,Mazzini,2091,11,12,0,0
2018,BITONE,Savena,Mazzini,2092,46,97,0,0
2018,BITONE,Savena,Mazzini,2102,13,72,0,0
2018,BITONE,Savena,Mazzini,2107,11,29,0,0
2018,BITONE,Savena,Mazzini,2112,8,10,0,0
2018,BITONE,Savena,Mazzini,2116,25,41,0,0
2018,VIA ARNO,Savena,Mazzini,2138,12,24,0,0
2018,CAVEDONE,Savena,Mazzini,2147,20,25,0,0
2018,OSPEDALE BELLARIA,Savena,Mazzini,2157,5,26,0,0
2018,MONTE DONATO,Savena,S. Ruffillo,2159,7,23,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2163,4,5,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2176,8,13,0,0
2018,MONTE DONATO,Savena,S. Ruffillo,2180,5,4,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2194,6,6,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2198,1,1,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2203,21,41,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2208,16,33,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2224,15,33,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2228,13,16,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2234,7,7,0,0
