quartiere_name,zona_name,household_type,household_size,num_households,population
Santo Stefano,Galvani,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1,3
Santo Stefano,Galvani,Padre con figli,2,107,214
Santo Stefano,Galvani,Padre con figli e altri membri conviventi,5,9,45
Santo Stefano,Irnerio,Coniugi con figli,6-10,8,54
Santo Stefano,Irnerio,Coppia unita civilmente femminile,2,1,2
Santo Stefano,Irnerio,Coppia unita civilmente femminile con altri conviventi,3,1,3
Santo Stefano,Irnerio,Madre con figli,3,140,420
Santo Stefano,Irnerio,Madre con figli,4,14,56
Santo Stefano,Irnerio,Padre con figli e altri membri conviventi,5,6,30
Santo Stefano,Irnerio,Sola,1,3100,3100
Savena,Mazzini,Altre tipologie familiari,5,5,25
Savena,Mazzini,Padre con figli,4,8,32
Savena,San Ruffillo,Coniugi con figli e altri membri conviventi,Oltre 10,2,24
Savena,San Ruffillo,Padre con figli,6-10,1,6
Savena,San Ruffillo,Sola,1,3012,3012
Santo Stefano,Irnerio,Madre con figli e altri membri conviventi,6-10,1,6
Santo Stefano,Murri,Coniugi con figli,6-10,35,215
Savena,Mazzini,Coniugi,2,2951,5902
Savena,Mazzini,Madre con figli e altri membri conviventi,5,29,145
Savena,San Ruffillo,Coniugi con altri membri conviventi,6-10,3,20
Savena,San Ruffillo,Madre con figli e altri membri conviventi,3,165,495
Savena,San Ruffillo,Padre con figli e altri membri conviventi,4,94,376
Borgo Panigale - Reno,Borgo Panigale,Madre con figli e altri membri conviventi,5,26,130
Porto - Saragozza,Malpighi,Coniugi con altri membri conviventi,3,17,51
Porto - Saragozza,Malpighi,Madre con figli e altri membri conviventi,4,36,144
Porto - Saragozza,Malpighi,Padre con figli e altri membri conviventi,4,44,176
Porto - Saragozza,Marconi,Coniugi con figli,6-10,7,42
Porto - Saragozza,Marconi,Madre con figli e altri membri conviventi,6-10,2,12
Porto - Saragozza,Marconi,Padre con figli e altri membri conviventi,6-10,2,12
San Donato - San Vitale,San Vitale,Altre tipologie familiari,2,950,1900
San Donato - San Vitale,San Vitale,Coniugi con figli e altri membri conviventi,6-10,59,400
San Donato - San Vitale,San Vitale,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1,3
San Donato - San Vitale,San Vitale,Madre con figli e altri membri conviventi,5,35,175
Santo Stefano,Colli,Altre tipologie familiari,6-10,2,15
Santo Stefano,Colli,Madre con figli,2,256,512
Santo Stefano,Galvani,Coniugi con figli,4,308,1232
Santo Stefano,Irnerio,Coppia unita civilmente maschile con figli ed eventuali conviventi,3,1,3
Santo Stefano,Irnerio,Padre con figli e altri membri conviventi,3,68,204
Santo Stefano,Murri,Coniugi con figli,3,1142,3426
Santo Stefano,Murri,Coniugi con figli,4,1031,4124
Santo Stefano,Murri,Madre con figli,2,864,1728
Santo Stefano,Murri,Padre con figli,3,71,213
Santo Stefano,Murri,Padre con figli,4,9,36
Savena,Mazzini,Altre tipologie familiari,3,54,162
Savena,Mazzini,Coniugi con figli e altri membri conviventi,5,62,310
Savena,Mazzini,Madre con figli,2,1147,2294
Savena,San Ruffillo,Coniugi con altri membri conviventi,4,7,28
Savena,San Ruffillo,Solo,1,2260,2260
Borgo Panigale - Reno,Borgo Panigale,Padre con figli e altri membri conviventi,6-10,18,120
Borgo Panigale - Reno,Santa Viola,Altre tipologie familiari,3,20,60
Borgo Panigale - Reno,Santa Viola,Coniugi con figli,3,563,1689
Borgo Panigale - Reno,Santa Viola,Padre con figli,4,5,20
Navile,Bolognina,Altre tipologie familiari,4,31,124
Navile,Bolognina,Padre con figli e altri membri conviventi,5,30,150
Navile,Corticella,Altre tipologie familiari,2,402,804
Navile,Corticella,Coniugi con altri membri conviventi,5,6,30
Navile,Corticella,Padre con figli,3,31,93
Porto - Saragozza,Costa Saragozza,Padre con figli e altri membri conviventi,6-10,5,35
Porto - Saragozza,Costa Saragozza,Solo,1,3168,3168
Borgo Panigale - Reno,Barca,Coniugi con altri membri conviventi,3,64,192
Borgo Panigale - Reno,Barca,Coniugi con altri membri conviventi,6-10,3,21
Borgo Panigale - Reno,Santa Viola,Coniugi con figli e altri membri conviventi,5,24,120
Borgo Panigale - Reno,Santa Viola,Madre con figli,2,388,776
Navile,Bolognina,Coniugi con altri membri conviventi,5,6,30
Navile,Bolognina,Madre con figli,6-10,3,19
Navile,Bolognina,Padre con figli,3,50,150
Navile,Corticella,Altre tipologie familiari,4,7,28
Navile,Corticella,Coniugi con altri membri conviventi,3,37,111
Navile,Lame,Coniugi con figli e altri membri conviventi,4,33,132
Porto - Saragozza,Costa Saragozza,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,4,12
Porto - Saragozza,Costa Saragozza,Madre con figli e altri membri conviventi,4,108,432
Porto - Saragozza,Malpighi,Altre tipologie familiari,2,264,528
Porto - Saragozza,Malpighi,Madre con figli,6-10,2,13
Porto - Saragozza,Malpighi,Padre con figli,2,78,156
Porto - Saragozza,Marconi,Coniugi con altri membri conviventi,4,5,20
Porto - Saragozza,Marconi,Coppia unita civilmente femminile,2,4,8
Porto - Saragozza,Marconi,Madre con figli,2,461,922
Porto - Saragozza,Marconi,Madre con figli e altri membri conviventi,5,7,35
Porto - Saragozza,Marconi,Padre con figli,4,3,12
Porto - Saragozza,Saffi,Altre tipologie familiari,2,437,874
Porto - Saragozza,Saffi,Coppia unita civilmente femminile,2,5,10
Porto - Saragozza,Saffi,Coppia unita civilmente maschile,2,12,24
San Donato - San Vitale,San Donato,Altre tipologie familiari,6-10,3,18
San Donato - San Vitale,San Donato,Coniugi con figli,3,1022,3066
San Donato - San Vitale,San Donato,Coniugi con figli,4,783,3132
San Donato - San Vitale,San Donato,Padre con figli,6-10,1,6
San Donato - San Vitale,San Vitale,Altre tipologie familiari,4,17,68
San Donato - San Vitale,San Vitale,Madre con figli,3,301,903
San Donato - San Vitale,San Vitale,Madre con figli,5,5,25
San Donato - San Vitale,San Vitale,Solo,1,5104,5104
Santo Stefano,Colli,Coniugi,2,528,1056
Santo Stefano,Colli,Madre con figli,3,117,351
Santo Stefano,Colli,Madre con figli,5,4,20
Santo Stefano,Colli,Madre con figli e altri membri conviventi,4,46,184
Santo Stefano,Colli,Padre con figli,6-10,1,6
Santo Stefano,Colli,Solo,1,897,897
Santo Stefano,Galvani,Coniugi con figli,3,414,1242
Santo Stefano,Galvani,Coniugi con figli,5,72,360
Santo Stefano,Galvani,Madre con figli e altri membri conviventi,4,45,180
Santo Stefano,Galvani,Padre con figli e altri membri conviventi,3,70,210
Santo Stefano,Galvani,Padre con figli e altri membri conviventi,6-10,1,6
Santo Stefano,Murri,Altre tipologie familiari,2,560,1120
Santo Stefano,Murri,Altre tipologie familiari,3,50,150
Santo Stefano,Murri,Altre tipologie familiari,4,10,40
Santo Stefano,Murri,Coniugi con figli,5,171,855
Santo Stefano,Murri,Coppia unita civilmente maschile con altri conviventi,3,2,6
Santo Stefano,Murri,Madre con figli e altri membri conviventi,5,22,110
Santo Stefano,Murri,Padre con figli e altri membri conviventi,5,13,65
Savena,Mazzini,Coniugi con altri membri conviventi,3,87,261
Savena,Mazzini,Coniugi con figli,3,1571,4713
Savena,Mazzini,Coniugi con figli e altri membri conviventi,Oltre 10,3,38
Savena,Mazzini,Coppia unita civilmente femminile,2,7,14
Savena,Mazzini,Madre con figli e altri membri conviventi,4,176,704
Savena,Mazzini,Sola,1,5747,5747
Savena,San Ruffillo,Altre tipologie familiari,5,3,15
Savena,San Ruffillo,Coniugi con altri membri conviventi,3,55,165
Savena,San Ruffillo,Coniugi con figli,3,822,2466
Savena,San Ruffillo,Coppia unita civilmente maschile,2,3,6
Senza fissa dimora,Senza fissa dimora,Madre con figli,3,1,3
Senza fissa dimora,Senza fissa dimora,Sola,1,87,87
Borgo Panigale - Reno,Barca,Madre con figli,3,215,645
Borgo Panigale - Reno,Barca,Padre con figli,2,138,276
Borgo Panigale - Reno,Borgo Panigale,Coniugi con altri membri conviventi,6-10,2,12
Borgo Panigale - Reno,Borgo Panigale,Madre con figli,2,688,1376
Borgo Panigale - Reno,Borgo Panigale,Padre con figli,4,6,24
Borgo Panigale - Reno,Santa Viola,Coniugi,2,912,1824
Borgo Panigale - Reno,Santa Viola,Coniugi con altri membri conviventi,4,7,28
Borgo Panigale - Reno,Santa Viola,Coniugi con altri membri conviventi,5,2,10
Navile,Bolognina,Altre tipologie familiari,2,1068,2136
Navile,Corticella,Altre tipologie familiari,3,36,108
Navile,Corticella,Madre con figli e altri membri conviventi,6-10,13,84
Navile,Corticella,Padre con figli,2,127,254
Navile,Corticella,Padre con figli e altri membri conviventi,6-10,8,52
Navile,Lame,Altre tipologie familiari,3,26,78
Navile,Lame,Coniugi con altri membri conviventi,4,4,16
Navile,Lame,Coniugi con figli,3,596,1788
Navile,Lame,Coniugi con figli e altri membri conviventi,Oltre 10,2,22
Navile,Lame,Madre con figli e altri membri conviventi,5,14,70
Navile,Lame,Padre con figli,3,21,63
Porto - Saragozza,Costa Saragozza,Altre tipologie familiari,4,2,8
Porto - Saragozza,Costa Saragozza,Coniugi con figli,6-10,23,139
Porto - Saragozza,Costa Saragozza,Coppia unita civilmente maschile con altri conviventi,3,1,3
Porto - Saragozza,Costa Saragozza,Madre con figli e altri membri conviventi,3,155,465
Porto - Saragozza,Costa Saragozza,Padre con figli,4,3,12
Porto - Saragozza,Costa Saragozza,Sola,1,4150,4150
Porto - Saragozza,Malpighi,Coppia unita civilmente maschile,2,6,12
Porto - Saragozza,Malpighi,Madre con figli,3,108,324
Porto - Saragozza,Marconi,Altre tipologie familiari,4,9,36
Porto - Saragozza,Marconi,Coniugi con figli,4,387,1548
Porto - Saragozza,Marconi,Padre con figli,5,1,5
Porto - Saragozza,Marconi,Padre con figli e altri membri conviventi,4,35,140
Porto - Saragozza,Saffi,Padre con figli e altri membri conviventi,4,68,272
Porto - Saragozza,Saffi,Padre con figli e altri membri conviventi,5,15,75
San Donato - San Vitale,San Donato,Altre tipologie familiari,4,17,68
San Donato - San Vitale,San Donato,Coniugi con figli,5,240,1200
San Donato - San Vitale,San Vitale,Coniugi con figli,4,1051,4204
San Donato - San Vitale,San Vitale,Coniugi con figli e altri membri conviventi,Oltre 10,2,26
Santo Stefano,Colli,Altre tipologie familiari,2,145,290
Santo Stefano,Galvani,Altre tipologie familiari,4,6,24
Santo Stefano,Galvani,Altre tipologie familiari,5,4,20
Santo Stefano,Irnerio,Coniugi con altri membri conviventi,4,7,28
Santo Stefano,Irnerio,Coniugi con altri membri conviventi,5,1,5
Santo Stefano,Irnerio,Coniugi con figli,4,255,1020
Santo Stefano,Irnerio,Padre con figli,3,35,105
Santo Stefano,Murri,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,3,9
Santo Stefano,Murri,Padre con figli e altri membri conviventi,3,165,495
Savena,Mazzini,Altre tipologie familiari,2,847,1694
Savena,Mazzini,Altre tipologie familiari,4,18,72
Savena,Mazzini,Coniugi con figli e altri membri conviventi,6-10,79,527
Savena,Mazzini,Madre con figli e altri membri conviventi,6-10,10,65
Savena,Mazzini,Padre con figli,3,78,234
Santo Stefano,Irnerio,Coniugi,2,733,1466
Santo Stefano,Irnerio,Coniugi con figli e altri membri conviventi,5,14,70
Santo Stefano,Irnerio,Madre con figli,2,376,752
Santo Stefano,Irnerio,Padre con figli,4,5,20
Santo Stefano,Murri,Coniugi con figli e altri membri conviventi,4,50,200
Santo Stefano,Murri,Coniugi con figli e altri membri conviventi,6-10,32,211
Santo Stefano,Murri,Madre con figli,3,319,957
Santo Stefano,Murri,Madre con figli,4,39,156
Santo Stefano,Murri,Madre con figli e altri membri conviventi,4,101,404
Santo Stefano,Murri,Padre con figli,2,190,380
Savena,Mazzini,Coniugi con figli e altri membri conviventi,4,87,348
Savena,Mazzini,Madre con figli e altri membri conviventi,3,284,852
Savena,San Ruffillo,Coniugi con figli e altri membri conviventi,5,43,215
Savena,San Ruffillo,Coniugi con figli e altri membri conviventi,6-10,48,314
Savena,San Ruffillo,Madre con figli,2,690,1380
Savena,San Ruffillo,Madre con figli,4,33,132
Savena,San Ruffillo,Madre con figli,6-10,2,12
Borgo Panigale - Reno,Barca,Coniugi con figli,6-10,38,245
Borgo Panigale - Reno,Barca,Coppia unita civilmente femminile,2,5,10
Borgo Panigale - Reno,Barca,Madre con figli,2,669,1338
Borgo Panigale - Reno,Barca,Padre con figli,3,30,90
Borgo Panigale - Reno,Borgo Panigale,Altre tipologie familiari,6-10,1,6
Borgo Panigale - Reno,Borgo Panigale,Coniugi con figli,5,165,825
Borgo Panigale - Reno,Borgo Panigale,Coniugi con figli e altri membri conviventi,4,67,268
Borgo Panigale - Reno,Borgo Panigale,Coniugi con figli e altri membri conviventi,5,78,390
Borgo Panigale - Reno,Borgo Panigale,Madre con figli,4,37,148
Borgo Panigale - Reno,Borgo Panigale,Padre con figli,3,42,126
Borgo Panigale - Reno,Borgo Panigale,Padre con figli e altri membri conviventi,5,20,100
Borgo Panigale - Reno,Santa Viola,Madre con figli,4,20,80
Borgo Panigale - Reno,Santa Viola,Padre con figli e altri membri conviventi,5,12,60
Navile,Bolognina,Madre con figli e altri membri conviventi,5,32,160
Navile,Bolognina,Sola,1,5570,5570
Navile,Corticella,Altre tipologie familiari,5,2,10
Navile,Corticella,Altre tipologie familiari,6-10,2,13
Navile,Corticella,Coniugi con figli,6-10,31,192
Navile,Corticella,Madre con figli,2,507,1014
Navile,Corticella,Madre con figli,5,2,10
Navile,Corticella,Padre con figli,4,4,16
Navile,Lame,Coniugi con figli e altri membri conviventi,5,21,105
Navile,Lame,Coppia unita civilmente maschile,2,8,16
Navile,Lame,Padre con figli,2,89,178
Porto - Saragozza,Costa Saragozza,Altre tipologie familiari,2,561,1122
Porto - Saragozza,Costa Saragozza,Coniugi con figli,5,141,705
Porto - Saragozza,Costa Saragozza,Coniugi con figli e altri membri conviventi,5,41,205
Porto - Saragozza,Costa Saragozza,Madre con figli e altri membri conviventi,5,14,70
Porto - Saragozza,Costa Saragozza,Padre con figli,2,148,296
Porto - Saragozza,Costa Saragozza,Padre con figli,5,1,5
Porto - Saragozza,Malpighi,Altre tipologie familiari,6-10,2,12
Porto - Saragozza,Marconi,Madre con figli,3,137,411
Porto - Saragozza,Saffi,Coniugi,2,1162,2324
Porto - Saragozza,Saffi,Coniugi con figli,5,109,545
Porto - Saragozza,Saffi,Coniugi con figli e altri membri conviventi,5,33,165
Porto - Saragozza,Saffi,Madre con figli e altri membri conviventi,4,66,264
Porto - Saragozza,Saffi,Padre con figli e altri membri conviventi,3,106,318
San Donato - San Vitale,San Donato,Altre tipologie familiari,2,797,1594
San Donato - San Vitale,San Donato,Coniugi con altri membri conviventi,5,6,30
San Donato - San Vitale,San Donato,Coniugi con figli e altri membri conviventi,5,79,395
San Donato - San Vitale,San Donato,Coppia unita civilmente maschile,2,11,22
San Donato - San Vitale,San Donato,Madre con figli,6-10,3,18
San Donato - San Vitale,San Donato,Madre con figli e altri membri conviventi,4,128,512
San Donato - San Vitale,San Donato,Madre con figli e altri membri conviventi,5,43,215
San Donato - San Vitale,San Donato,Padre con figli,2,200,400
San Donato - San Vitale,San Donato,Padre con figli e altri membri conviventi,4,125,500
San Donato - San Vitale,San Donato,Padre con figli e altri membri conviventi,5,31,155
San Donato - San Vitale,San Donato,Padre con figli e altri membri conviventi,6-10,12,83
San Donato - San Vitale,San Donato,Sola,1,4744,4744
San Donato - San Vitale,San Vitale,Madre con figli,2,991,1982
