area_name,household_type,household_size,households
fiera,Madre con figli e altri membri conviventi,Oltre 10,1
michelino,Madre con figli e altri membri conviventi,Oltre 10,1
pilastro,Madre con figli e altri membri conviventi,Oltre 10,1
san donnino,Madre con figli e altri membri conviventi,Oltre 10,1
scalo merci san donato,Madre con figli e altri membri conviventi,Oltre 10,1
via del lavoro,Madre con figli e altri membri conviventi,Oltre 10,1
via mondo,Madre con figli e altri membri conviventi,Oltre 10,1
osservanza,Coniugi con altri membri conviventi,4,1
paderno,Coniugi con altri membri conviventi,4,1
san michele in bosco,Coniugi con altri membri conviventi,4,1
osservanza,Padre con figli e altri membri conviventi,4,19
paderno,Padre con figli e altri membri conviventi,4,8
san michele in bosco,Padre con figli e altri membri conviventi,4,12
galvani-1,Altre tipologie familiari,3,3
galvani-2,Altre tipologie familiari,3,15
galvani-1,Madre con figli,6-10,1
galvani-2,Madre con figli,6-10,1
irnerio-1,Altre tipologie familiari,4,2
irnerio-2,Altre tipologie familiari,4,3
irnerio-1,Madre con figli e altri membri conviventi,3,29
irnerio-2,Madre con figli e altri membri conviventi,3,77
irnerio-1,Madre con figli e altri membri conviventi,4,11
irnerio-2,Madre con figli e altri membri conviventi,4,29
bitone,Padre con figli e altri membri conviventi,6-10,4
cavedone,Padre con figli e altri membri conviventi,6-10,2
due madonne,Padre con figli e altri membri conviventi,6-10,2
fossolo,Padre con figli e altri membri conviventi,6-10,4
lungo savena,Padre con figli e altri membri conviventi,6-10,1
ospedale bellaria,Padre con figli e altri membri conviventi,6-10,1
pontevecchio,Padre con figli e altri membri conviventi,6-10,2
via arno,Padre con figli e altri membri conviventi,6-10,3
bitone,Solo,1,1174
cavedone,Solo,1,342
due madonne,Solo,1,330
fossolo,Solo,1,946
lungo savena,Solo,1,20
ospedale bellaria,Solo,1,14
pontevecchio,Solo,1,576
via arno,Solo,1,773
battindarno,Altre tipologie familiari,3,13
canale di reno,Altre tipologie familiari,3,10
villaggio della barca,Altre tipologie familiari,3,9
battindarno,Altre tipologie familiari,4,6
canale di reno,Altre tipologie familiari,4,4
villaggio della barca,Altre tipologie familiari,4,4
battindarno,Altre tipologie familiari,5,2
canale di reno,Altre tipologie familiari,5,2
villaggio della barca,Altre tipologie familiari,5,2
battindarno,Coniugi,2,681
canale di reno,Coniugi,2,486
villaggio della barca,Coniugi,2,462
battindarno,Coniugi con altri membri conviventi,5,2
canale di reno,Coniugi con altri membri conviventi,5,1
villaggio della barca,Coniugi con altri membri conviventi,5,1
battindarno,Madre con figli,6-10,2
canale di reno,Madre con figli,6-10,2
villaggio della barca,Madre con figli,6-10,2
battindarno,Padre con figli e altri membri conviventi,4,36
canale di reno,Padre con figli e altri membri conviventi,4,26
villaggio della barca,Padre con figli e altri membri conviventi,4,24
battindarno,Solo,1,879
canale di reno,Solo,1,628
villaggio della barca,Solo,1,596
aeroporto,Altre tipologie familiari,3,2
bargellino,Altre tipologie familiari,3,1
borgo centro,Altre tipologie familiari,3,18
casteldebole,Altre tipologie familiari,3,11
ducati-villaggio ina,Altre tipologie familiari,3,7
la birra,Altre tipologie familiari,3,5
lavino di mezzo,Altre tipologie familiari,3,2
lungo reno,Altre tipologie familiari,3,1
rigosa,Altre tipologie familiari,3,3
triumvirato-pietra,Altre tipologie familiari,3,12
via del vivaio,Altre tipologie familiari,3,3
aeroporto,Coniugi con altri membri conviventi,3,2
bargellino,Coniugi con altri membri conviventi,3,1
borgo centro,Coniugi con altri membri conviventi,3,18
casteldebole,Coniugi con altri membri conviventi,3,12
ducati-villaggio ina,Coniugi con altri membri conviventi,3,7
la birra,Coniugi con altri membri conviventi,3,5
lavino di mezzo,Coniugi con altri membri conviventi,3,2
lungo reno,Coniugi con altri membri conviventi,3,1
rigosa,Coniugi con altri membri conviventi,3,3
triumvirato-pietra,Coniugi con altri membri conviventi,3,12
via del vivaio,Coniugi con altri membri conviventi,3,3
aeroporto,Coniugi con figli,6-10,1
bargellino,Coniugi con figli,6-10,1
borgo centro,Coniugi con figli,6-10,15
casteldebole,Coniugi con figli,6-10,10
ducati-villaggio ina,Coniugi con figli,6-10,6
la birra,Coniugi con figli,6-10,4
lavino di mezzo,Coniugi con figli,6-10,1
lungo reno,Coniugi con figli,6-10,1
rigosa,Coniugi con figli,6-10,3
triumvirato-pietra,Coniugi con figli,6-10,11
via del vivaio,Coniugi con figli,6-10,2
aeroporto,Coppia unita civilmente femminile,2,1
bargellino,Coppia unita civilmente femminile,2,1
borgo centro,Coppia unita civilmente femminile,2,2
casteldebole,Coppia unita civilmente femminile,2,1
ducati-villaggio ina,Coppia unita civilmente femminile,2,1
la birra,Coppia unita civilmente femminile,2,1
lavino di mezzo,Coppia unita civilmente femminile,2,1
lungo reno,Coppia unita civilmente femminile,2,1
rigosa,Coppia unita civilmente femminile,2,1
triumvirato-pietra,Coppia unita civilmente femminile,2,1
via del vivaio,Coppia unita civilmente femminile,2,1
aeroporto,Solo,1,55
bargellino,Solo,1,9
borgo centro,Solo,1,930
casteldebole,Solo,1,594
ducati-villaggio ina,Solo,1,362
la birra,Solo,1,228
lavino di mezzo,Solo,1,62
lungo reno,Solo,1,2
rigosa,Solo,1,156
triumvirato-pietra,Solo,1,632
via del vivaio,Solo,1,110
arcoveggio,Altre tipologie familiari,5,3
caserme rosse-manifattura,Altre tipologie familiari,5,1
cnr,Altre tipologie familiari,5,1
ex mercato ortofrutticolo,Altre tipologie familiari,5,1
piazza dell'unita',Altre tipologie familiari,5,3
via ferrarese,Altre tipologie familiari,5,3
arcoveggio,Coniugi,2,548
caserme rosse-manifattura,Coniugi,2,114
cnr,Coniugi,2,3
ex mercato ortofrutticolo,Coniugi,2,91
piazza dell'unita',Coniugi,2,580
via ferrarese,Coniugi,2,629
arcoveggio,Coniugi con altri membri conviventi,6-10,2
caserme rosse-manifattura,Coniugi con altri membri conviventi,6-10,1
cnr,Coniugi con altri membri conviventi,6-10,1
ex mercato ortofrutticolo,Coniugi con altri membri conviventi,6-10,1
piazza dell'unita',Coniugi con altri membri conviventi,6-10,3
via ferrarese,Coniugi con altri membri conviventi,6-10,3
arcoveggio,Coniugi con figli,5,59
caserme rosse-manifattura,Coniugi con figli,5,13
cnr,Coniugi con figli,5,1
ex mercato ortofrutticolo,Coniugi con figli,5,10
piazza dell'unita',Coniugi con figli,5,62
via ferrarese,Coniugi con figli,5,68
arcoveggio,Coppia unita civilmente femminile,2,4
caserme rosse-manifattura,Coppia unita civilmente femminile,2,1
cnr,Coppia unita civilmente femminile,2,1
ex mercato ortofrutticolo,Coppia unita civilmente femminile,2,1
piazza dell'unita',Coppia unita civilmente femminile,2,4
via ferrarese,Coppia unita civilmente femminile,2,4
arcoveggio,Coppia unita civilmente maschile,2,7
caserme rosse-manifattura,Coppia unita civilmente maschile,2,2
cnr,Coppia unita civilmente maschile,2,1
ex mercato ortofrutticolo,Coppia unita civilmente maschile,2,2
piazza dell'unita',Coppia unita civilmente maschile,2,7
via ferrarese,Coppia unita civilmente maschile,2,8
arcoveggio,Madre con figli,2,273
caserme rosse-manifattura,Madre con figli,2,57
cnr,Madre con figli,2,2
ex mercato ortofrutticolo,Madre con figli,2,46
piazza dell'unita',Madre con figli,2,288
via ferrarese,Madre con figli,2,313
arcoveggio,Madre con figli e altri membri conviventi,4,48
caserme rosse-manifattura,Madre con figli e altri membri conviventi,4,10
cnr,Madre con figli e altri membri conviventi,4,1
ex mercato ortofrutticolo,Madre con figli e altri membri conviventi,4,8
piazza dell'unita',Madre con figli e altri membri conviventi,4,50
via ferrarese,Madre con figli e altri membri conviventi,4,55
arcoveggio,Madre con figli e altri membri conviventi,6-10,5
caserme rosse-manifattura,Madre con figli e altri membri conviventi,6-10,1
cnr,Madre con figli e altri membri conviventi,6-10,1
ex mercato ortofrutticolo,Madre con figli e altri membri conviventi,6-10,1
piazza dell'unita',Madre con figli e altri membri conviventi,6-10,6
via ferrarese,Madre con figli e altri membri conviventi,6-10,6
arcoveggio,Padre con figli,6-10,1
caserme rosse-manifattura,Padre con figli,6-10,1
cnr,Padre con figli,6-10,1
ex mercato ortofrutticolo,Padre con figli,6-10,1
piazza dell'unita',Padre con figli,6-10,1
via ferrarese,Padre con figli,6-10,1
croce coperta,Coniugi con altri membri conviventi,6-10,1
la dozza,Coniugi con altri membri conviventi,6-10,1
mulino del gomito,Coniugi con altri membri conviventi,6-10,1
san savino,Coniugi con altri membri conviventi,6-10,1
savena abbandonato,Coniugi con altri membri conviventi,6-10,1
croce coperta,Madre con figli,4,7
la dozza,Madre con figli,4,2
mulino del gomito,Madre con figli,4,1
san savino,Madre con figli,4,10
savena abbandonato,Madre con figli,4,2
beverara,Altre tipologie familiari,4,5
la noce,Altre tipologie familiari,4,1
laghetti del rosario,Altre tipologie familiari,4,1
lazzaretto,Altre tipologie familiari,4,1
pescarola,Altre tipologie familiari,4,3
tiro a segno,Altre tipologie familiari,4,1
beverara,Coniugi con figli,6-10,21
la noce,Coniugi con figli,6-10,5
laghetti del rosario,Coniugi con figli,6-10,2
lazzaretto,Coniugi con figli,6-10,3
pescarola,Coniugi con figli,6-10,13
tiro a segno,Coniugi con figli,6-10,1
beverara,Padre con figli e altri membri conviventi,3,51
la noce,Padre con figli e altri membri conviventi,3,11
laghetti del rosario,Padre con figli e altri membri conviventi,3,4
lazzaretto,Padre con figli e altri membri conviventi,3,7
pescarola,Padre con figli e altri membri conviventi,3,33
tiro a segno,Padre con figli e altri membri conviventi,3,2
beverara,Padre con figli e altri membri conviventi,4,31
